Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
42.5	119.31	61	-1.1622e-07 2.28612e-08	2.71243e-05 4.44109e-06	3.62343e-08 1.22107e-07	-2.44347e-08 1.55046e-08	-9.43232e-10 6.10648e-10	-2.50599e-10 1.40793e-10	
43.5	113.363	58.5	-1.17126e-05 8.89731e-06	-0.000608458 0.000588546	-0.00015683 0.000119503	-3.52943e-05 3.02393e-05	-1.70001e-05 1.59255e-05	-1.56531e-05 1.08362e-05	
44.5	108.133	56	-1.82572e-05 1.36433e-05	-0.00116033 0.000835667	-0.000401814 0.000311047	-9.23575e-05 8.8596e-05	-1.41852e-05 1.40894e-05	-4.71519e-06 3.94917e-06	
45.5	105.106	53.5	-3.14605e-07 8.88728e-08	3.37563e-05 4.71032e-06	-1.59362e-08 1.15896e-07	-1.6541e-09 8.51805e-09	-1.8635e-10 3.7461e-10	-6.26649e-11 8.26828e-11	
46.5	97.1137	51	-1.53662e-07 2.94556e-08	2.60818e-05 4.99913e-06	2.62227e-08 8.89886e-08	-1.49065e-08 9.90938e-09	-6.98823e-10 4.04005e-10	-8.37566e-11 4.87779e-11	
47.5	92.7466	49	-1.55426e-05 1.26734e-05	-0.000737996 0.000762654	-0.000353487 0.000353461	-9.54062e-05 9.54029e-05	-1.13433e-05 1.13431e-05	-2.28567e-07 2.28433e-07	
48.5	88.7154	47	-2.81046e-07 8.5717e-08	3.03907e-05 4.96469e-06	8.54506e-08 7.28947e-08	-2.00319e-08 1.13945e-08	-1.84233e-09 9.10635e-10	-9.63834e-11 5.77221e-11	
49.5	83.0652	44.5	-1.88944e-07 4.301e-08	2.1765e-05 4.20258e-06	2.6831e-07 6.12464e-08	-5.47362e-08 1.51864e-08	-1.5151e-08 1.49938e-08	-1.46764e-07 1.46576e-07	
50.5	79.2623	42	-3.68338e-07 1.54195e-07	2.38905e-05 4.5096e-06	5.24225e-08 8.01186e-08	-1.46999e-08 7.442e-09	-2.78077e-10 3.76802e-10	-9.88108e-11 4.18979e-11	
51.5	74.6962	40	-2.55997e-07 6.4744e-08	2.34935e-05 5.69764e-06	1.31263e-07 6.07122e-08	-3.75944e-08 1.29211e-08	7.21433e-12 2.94312e-10	-2.47851e-10 8.47219e-11	
52.5	71.0935	38.5	-4.38519e-07 1.01345e-07	2.52094e-05 4.45052e-06	1.39092e-07 6.30577e-08	-2.0422e-08 9.55229e-09	-1.06238e-09 5.15626e-10	-1.39404e-10 4.73004e-11	
53.5	66.9867	37	-2.88125e-07 1.08774e-07	2.82898e-05 4.45912e-06	1.34971e-07 5.58474e-08	-1.05898e-08 8.07276e-09	-4.04998e-10 2.62472e-10	-9.84604e-11 4.14877e-11	
54.5	63.7864	35	-3.15919e-07 8.86775e-08	2.83578e-05 4.38985e-06	1.43201e-07 5.37693e-08	-3.162e-08 8.85159e-09	-5.32693e-11 2.21375e-10	-1.64122e-10 4.89353e-11	
55.5	60.0902	33	-3.28762e-07 8.04381e-08	2.59154e-05 4.23596e-06	4.09377e-08 5.06124e-08	-2.03481e-08 7.63493e-09	-9.80367e-11 2.61486e-10	-2.00649e-10 5.34246e-11	
