Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
57.5	123.306	48.5	0.00559764 0.000317365	 0.11652 0.00337782	 0.0373529 0.00166234	 0.0272884 0.00118223	 0.0138927 0.000649618	 0.00780924 0.000433327	 
58.5	121.553	46	0.00750887 0.000637433	 0.100777 0.00404364	 0.036756 0.00220817	 0.0222381 0.0014076	 0.013601 0.000785442	 0.00727154 0.000611029	 
59.5	120.458	43.5	0.00683523 0.000449599	 0.110085 0.00318154	 0.0384947 0.00171656	 0.0240102 0.00121559	 0.0139479 0.00072802	 0.0069675 0.000345001	 
60.5	nan	41	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
61.5	nan	39	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
62.5	nan	37	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
63.5	nan	35	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
64.5	nan	33	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
65.5	nan	31	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
66.5	nan	29	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
67.5	nan	27	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
68.5	nan	25	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
69.5	nan	23.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
70.5	nan	22	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
71.5	nan	20.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
72.5	nan	19	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
73.5	nan	17.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
74.5	nan	16.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
75.5	nan	15.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
76.5	nan	14	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
77.5	nan	12.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
78.5	nan	11.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
79.5	nan	10.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
80.5	nan	9.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
81.5	nan	9	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
82.5	nan	8.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
83.5	nan	7.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
84.5	nan	6.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
85.5	nan	6	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
86.5	nan	5.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
87.5	nan	5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
88.5	nan	4.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
89.5	nan	4	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
90.5	nan	3.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
91.5	nan	3	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
92.5	nan	3	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
93.5	nan	2.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
94.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
95.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
96.5	nan	1.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
97.5	nan	1	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
98.5	nan	1	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
99.5	nan	0	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
