Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
61.5	41.4138	24	-2.87207e-07 9.2696e-08	1.75553e-05 6.04034e-06	-1.75541e-08 2.90894e-08	-1.88257e-08 7.5665e-09	-1.76304e-10 1.57557e-10	-1.52356e-10 4.87024e-11	
62.5	38.5163	22.5	-8.61253e-08 2.3593e-08	2.20828e-05 6.25365e-06	3.99828e-09 3.3297e-08	-3.47794e-08 1.38614e-08	-1.30814e-10 1.7286e-10	-9.36108e-11 5.10389e-11	
63.5	36.1717	21.5	-1.65423e-07 4.09081e-08	1.42269e-05 4.30168e-06	-5.33604e-08 3.54892e-08	-2.23418e-08 1.01223e-08	-1.86389e-10 1.26277e-10	-7.36277e-11 3.35705e-11	
64.5	34.0805	20.5	-2.55896e-07 7.75554e-08	3.06274e-05 6.29426e-06	-3.63615e-08 3.37814e-08	-1.77875e-08 9.20989e-09	-1.84382e-10 2.25253e-10	-2.06726e-10 9.28368e-11	
65.5	31.9586	19	-1.74394e-07 5.10295e-08	8.06399e-06 4.89252e-06	-1.26126e-08 2.32479e-08	-2.65085e-08 1.66811e-08	-2.08855e-10 1.26879e-10	-6.30551e-11 4.41857e-11	
66.5	30.341	17.5	-6.47055e-08 1.87382e-08	9.36387e-06 4.22183e-06	-5.74203e-08 2.78769e-08	-1.01089e-08 6.00668e-09	-6.3081e-11 7.26839e-11	-7.33941e-11 3.79461e-11	
67.5	28.0181	16.5	-1.43861e-07 4.47622e-08	9.54775e-06 4.86072e-06	-1.91205e-08 1.04337e-08	-3.02183e-08 9.78175e-09	-1.61133e-10 7.04344e-11	-8.27852e-11 2.50342e-11	
68.5	26.5857	15.5	-1.48135e-07 4.20765e-08	6.22343e-06 2.88203e-06	-1.54426e-08 1.48586e-08	-8.87111e-09 3.57041e-09	-2.58959e-10 1.52356e-10	-2.05388e-11 7.13799e-12	
69.5	24.7291	14.5	-8.48391e-08 3.24782e-08	3.16622e-06 2.89752e-06	-2.12292e-09 9.39724e-09	-1.01508e-08 3.79868e-09	-2.99761e-10 1.8731e-10	-2.09617e-11 6.52996e-12	
70.5	22.603	13.5	-9.38401e-08 4.57057e-08	7.87724e-06 3.22529e-06	-2.32713e-08 1.13148e-08	-1.47755e-08 4.60065e-09	-1.37093e-10 5.35679e-11	-4.18859e-11 1.40708e-11	
71.5	20.9116	13	-1.09676e-07 3.30825e-08	-1.09132e-06 2.09462e-06	-3.29725e-08 1.47104e-08	-1.20648e-08 4.24411e-09	-1.63294e-10 7.65022e-11	-3.14593e-11 1.33289e-11	
72.5	19.3311	12.5	-7.11146e-08 2.9144e-08	4.11963e-06 2.72361e-06	-2.50154e-08 1.11075e-08	-9.88572e-09 2.35546e-09	-1.45881e-10 5.24885e-11	-2.28089e-11 7.45737e-12	
73.5	17.9692	11.5	-1.14496e-07 3.72337e-08	-3.07994e-06 2.13835e-06	-3.6288e-08 1.07779e-08	-1.35414e-08 2.23855e-09	-9.46141e-11 3.26351e-11	-1.82855e-11 4.29248e-12	
74.5	16.3456	10.5	-4.30835e-08 1.44064e-08	-4.27325e-06 1.53694e-06	-9.08307e-09 2.89846e-09	-1.24866e-08 2.70977e-09	-1.51024e-10 6.41586e-11	-1.59961e-11 5.27707e-12	
75.5	15.164	10	-6.8595e-08 2.22938e-08	-5.08521e-06 1.40789e-06	-3.35298e-08 1.58522e-08	-1.05963e-08 2.71883e-09	-1.2524e-10 5.88629e-11	-1.6612e-11 4.96473e-12	
76.5	13.7485	9.5	-5.19021e-08 1.79144e-08	-2.17931e-06 1.55685e-06	-8.74444e-09 3.67092e-09	-1.21122e-08 2.72408e-09	-1.19529e-10 5.39344e-11	-1.4596e-11 5.1094e-12	
77.5	12.5312	8.5	-3.91537e-08 1.58177e-08	-4.10042e-06 9.4272e-07	-1.23276e-08 3.2301e-09	-7.15342e-09 1.4759e-09	-5.92456e-11 2.69896e-11	-8.05201e-12 1.83266e-12	
78.5	11.563	8	-7.85268e-08 2.94065e-08	-5.33993e-06 1.10209e-06	-5.16873e-09 1.50954e-09	-7.57555e-09 1.90704e-09	-3.0591e-11 1.18005e-11	-6.02676e-12 1.96257e-12	
79.5	10.528	7.5	-3.09811e-08 5.30808e-09	-5.60708e-06 9.39977e-07	-1.2433e-08 3.80372e-09	-3.48024e-09 7.71759e-10	-4.51284e-11 1.96628e-11	-5.47754e-12 2.55339e-12	
80.5	9.59951	7	-3.53813e-08 1.12404e-08	-5.1359e-06 8.72113e-07	-6.66013e-09 2.25881e-09	-4.67699e-09 1.62026e-09	-1.29702e-11 4.85357e-12	-4.18073e-12 1.2431e-12	
