Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
83.5	7.07603	5.5	0.0457575 3.35793e-05	0.110488 0.000524808	-0.124159 0.0010677	0.00784808 8.46195e-05	0.024939 0.000158848	-0.0456009 0.000279517	
84.5	6.43721	5	0.0450483 0.000763193	0.0969143 0.0116563	-0.10468 0.0149129	0.00792001 1.14819e-05	0.0209065 0.000135533	-0.0351393 0.000269645	
85.5	5.69062	4.5	0.0377433 4.61164e-06	0.096906 0.00030766	-0.102349 0.00048366	0.00587114 1.10525e-06	0.0187154 9.00855e-07	-0.0345669 1.76178e-06	
86.5	5.103	4	0.0485043 0.000129444	0.108869 0.00105975	-0.127897 0.0018438	0.00466224 0.000104516	0.0177206 0.000446858	-0.0356322 0.000933256	
87.5	4.53568	4	0.0324877 1.05719e-05	0.0966209 6.93837e-06	-0.118771 1.03374e-05	0.0045718 1.47962e-06	0.0159288 2.01476e-05	-0.0257313 3.57501e-05	
88.5	3.99631	4	0.0428607 0.000242559	0.102623 0.00688631	-0.129113 0.0131514	0.00460085 0.000225903	0.0122764 0.000742336	-0.0254026 0.00158586	
89.5	3.47557	3.5	0.0335466 0.000935775	0.0951981 0.00126517	-0.11837 0.000337784	0.00287348 7.57519e-05	0.0107538 0.000259571	-0.021376 0.000542252	
90.5	3.35477	3	0.0830307 0.000186454	-0.0128541 inf	211.405 inf	-0.01867 8.80642e-07	-1.81915 1.30843	1889.9 52720.5	
91.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
93.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
94.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
96.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
98.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
99.5	nan	0	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
