Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
46.5	96.941	51	0.0188928 0.00123869	 0.0964495 0.0028486	 0.0332517 0.00116622	 0.0186191 0.000764733	 0.00884182 0.000335276	 0.00461869 0.00024117	 
47.5	91.7766	49	0.018385 0.00101193	 0.0952196 0.00302881	 0.0329089 0.00131207	 0.0178267 0.000733958	 0.00786375 0.000278521	 0.00435149 0.000188474	 
48.5	87.3457	47	0.0171227 0.00101908	 0.0901498 0.00270286	 0.0325461 0.00108749	 0.0166097 0.000624253	 0.00800118 0.000283965	 0.00402199 0.000164062	 
49.5	83.2205	44.5	0.0195975 0.00117491	 0.0911379 0.00281752	 0.0313358 0.00118398	 0.0165904 0.000641484	 0.00769943 0.00030783	 0.00385286 0.00016865	 
50.5	78.3371	42	0.01928 0.00105208	 0.0920034 0.00265481	 0.0328525 0.00117541	 0.0164965 0.000706615	 0.00790824 0.000284329	 0.00422978 0.000196858	 
51.5	74.9621	40	0.0222633 0.00142697	 0.0916104 0.00324175	 0.0320833 0.00112932	 0.0179225 0.000916108	 0.00778813 0.000291605	 0.00404935 0.000209476	 
52.5	70.651	38.5	0.0203907 0.00125491	 0.0953035 0.0026428	 0.0278556 0.00113039	 0.0176279 0.000732242	 0.00735614 0.000284946	 0.00418372 0.000193365	 
53.5	65.3287	37	0.0183551 0.00112441	 0.0975629 0.00307459	 0.0293616 0.00102208	 0.017918 0.000760321	 0.00713715 0.000292174	 0.00422327 0.00021096	 
54.5	61.5891	35	0.0164073 0.000966601	 0.0906339 0.00273033	 0.0281057 0.00101292	 0.0166873 0.000720045	 0.00749644 0.000309736	 0.0037733 0.000186849	 
55.5	58.766	33	0.0211347 0.00129234	 0.0914078 0.00273247	 0.029885 0.00103052	 0.0156163 0.000660573	 0.00733277 0.000284421	 0.00364286 0.00016251	 
56.5	55.971	31.5	0.0216555 0.00124994	 0.0915593 0.00335281	 0.0272169 0.00119941	 0.0178895 0.000824646	 0.00662668 0.000247191	 0.00389954 0.000212856	 
57.5	52.63	30	0.0188083 0.00106344	 0.0871713 0.00259358	 0.0268346 0.00108352	 0.0155357 0.000634906	 0.00614581 0.000255765	 0.00350272 0.000160212	 
58.5	48.7511	28.5	0.017789 0.000983146	 0.0887275 0.00280921	 0.027023 0.00105044	 0.0155973 0.000814698	 0.00638891 0.000247332	 0.00345916 0.000204079	 
59.5	46.1828	27	0.0173454 0.000976509	 0.0904454 0.00291634	 0.0256293 0.000928783	 0.0161044 0.000735234	 0.00638694 0.000265229	 0.00326915 0.000152109	 
60.5	43.9509	25.5	0.0194246 0.00105491	 0.0889161 0.00257541	 0.0251935 0.00091846	 0.0156296 0.00070485	 0.00644646 0.000257884	 0.00358114 0.000163724	 
61.5	41.4138	24	0.0207347 0.00120974	 0.0895687 0.00277414	 0.0228158 0.000855937	 0.0153135 0.000645258	 0.00578705 0.000226481	 0.00354964 0.000181123	 
62.5	38.5163	22.5	0.0175924 0.000936688	 0.08959 0.00279762	 0.0232698 0.000890898	 0.016143 0.000766363	 0.00604291 0.000244174	 0.003506 0.000172552	 
63.5	36.1717	21.5	0.0175399 0.00106668	 0.0829003 0.00253018	 0.0225264 0.000904945	 0.0139835 0.000644702	 0.00563723 0.000224319	 0.0029364 0.000152036	 
64.5	34.0805	20.5	0.0202575 0.00121956	 0.0907198 0.00253293	 0.0208022 0.000859918	 0.0152663 0.000665112	 0.0057854 0.000236106	 0.00340101 0.000206293	 
65.5	31.9586	19	0.0180465 0.00124119	 0.0807347 0.00305579	 0.0210053 0.000912023	 0.0131093 0.000764621	 0.00504262 0.000244438	 0.00281758 0.000168978	 
66.5	30.341	17.5	0.0158443 0.000869423	 0.07975 0.00268493	 0.0197231 0.000891671	 0.0134002 0.000591075	 0.00479409 0.000195044	 0.00294785 0.000159868	 
67.5	28.0181	16.5	0.0162391 0.00107478	 0.0824033 0.00275413	 0.0177552 0.00072829	 0.0138451 0.000703612	 0.00437853 0.00019758	 0.0029602 0.000160774	 
68.5	26.5857	15.5	0.0175694 0.00105294	 0.0741518 0.00246564	 0.0190619 0.000752548	 0.0130798 0.000557925	 0.00507934 0.000223954	 0.00271404 0.000119105	 
69.5	24.7291	14.5	0.0165635 0.000932602	 0.0718633 0.00259107	 0.0163228 0.000636732	 0.0113072 0.000554267	 0.00416408 0.000227535	 0.00225104 0.0001169	 
70.5	22.603	13.5	0.0157646 0.000980049	 0.0737647 0.00245489	 0.0164028 0.000734155	 0.012283 0.000614645	 0.00428369 0.000197893	 0.00250881 0.000140538	 
71.5	20.9116	13	0.0158981 0.000942058	 0.0673583 0.00247287	 0.016897 0.0007174	 0.0109003 0.000532402	 0.00419437 0.000185851	 0.00220066 0.000121132	 
72.5	19.3311	12.5	0.0144873 0.000958468	 0.0692735 0.0025483	 0.0147345 0.000742751	 0.0111918 0.000581546	 0.00360432 0.000200695	 0.00196983 0.000127676	 
73.5	17.9692	11.5	0.0153364 0.000982096	 0.0668099 0.00260829	 0.0145509 0.000713003	 0.0108808 0.000555329	 0.00336765 0.000161578	 0.00201939 0.000106643	 
74.5	16.3456	10.5	0.0128721 0.000755498	 0.0608486 0.00253954	 0.0122168 0.000528476	 0.00968886 0.000550516	 0.00310989 0.000184365	 0.00176962 0.000105139	 
75.5	15.164	10	0.0141106 0.000858433	 0.059569 0.00258578	 0.0129874 0.00070597	 0.0097433 0.000527872	 0.00301102 0.000176415	 0.00177592 0.00010682	 
76.5	13.7485	9.5	0.0130178 0.000830718	 0.0610461 0.00248637	 0.0120717 0.000543925	 0.00961475 0.000567964	 0.00285233 0.00018227	 0.00173109 0.00010684	 
77.5	12.5312	8.5	0.0130541 0.000770402	 0.0528755 0.0025027	 0.0112399 0.000574379	 0.00792259 0.000511329	 0.00247146 0.000153415	 0.00157986 9.1938e-05	 
78.5	11.563	8	0.0129741 0.00101407	 0.0539492 0.002748	 0.0099798 0.00049115	 0.00785671 0.000544093	 0.00223258 0.000133625	 0.00143119 8.95147e-05	 
79.5	10.528	7.5	0.0125862 0.000649932	 0.0509554 0.00237955	 0.010445 0.000516429	 0.00689728 0.000379915	 0.00224856 0.000129709	 0.00130151 7.70774e-05	 
