Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
44.5	41.8764	20.5	-6.31247e-07 1.77866e-07	9.31799e-06 2.98036e-06	-2.4852e-08 2.46166e-08	-3.36654e-08 1.04892e-08	-4.94222e-11 1.13443e-10	-1.78782e-10 8.76155e-11	
45.5	39.1724	19.5	-2.27079e-07 5.08337e-08	1.07469e-05 3.11402e-06	-1.94962e-08 2.25832e-08	-1.93628e-08 5.9628e-09	-4.50908e-10 1.94581e-10	-1.14364e-10 3.94853e-11	
46.5	37.8848	18.5	-1.70701e-07 3.62697e-08	1.04974e-05 3.3807e-06	1.07364e-08 1.76721e-08	-2.75356e-08 9.22615e-09	-1.06186e-10 8.8658e-11	-3.88026e-11 1.10443e-11	
47.5	36.3526	18	-2.58083e-07 9.39213e-08	8.46237e-06 2.8016e-06	-4.07601e-08 2.28773e-08	-2.8038e-08 7.07892e-09	-2.54624e-10 1.01392e-10	-6.29291e-11 1.48149e-11	
48.5	34.9574	17.5	-2.61387e-07 8.53778e-08	1.22448e-05 3.27027e-06	-5.8357e-09 1.94479e-08	-1.19056e-08 7.24866e-09	7.54352e-11 6.84362e-11	-1.21249e-10 4.73841e-11	
49.5	33.4259	16.5	-1.34189e-07 5.53317e-08	5.74734e-06 2.25692e-06	-2.7518e-08 1.68892e-08	-1.50396e-08 4.33607e-09	-1.86772e-10 1.27726e-10	-3.72716e-11 1.33638e-11	
50.5	32.0935	16	-2.48218e-07 9.62976e-08	1.0242e-05 2.77737e-06	-7.3757e-09 1.73916e-08	-1.00057e-08 3.53032e-09	-3.23999e-10 1.46716e-10	-7.66854e-11 2.1902e-11	
51.5	30.4819	15.5	-2.16242e-07 6.61717e-08	6.24945e-06 3.15399e-06	-3.08977e-08 1.57049e-08	-2.56927e-08 6.10577e-09	-1.65682e-10 7.70182e-11	-4.96673e-11 1.43453e-11	
52.5	28.5049	14.5	-1.7426e-07 5.11573e-08	8.61866e-06 2.39298e-06	-3.60684e-08 1.53536e-08	-1.15454e-08 3.38669e-09	-6.53436e-11 4.79058e-11	-3.5241e-11 9.65428e-12	
53.5	27.2231	14	-8.65445e-08 2.4992e-08	6.57501e-06 2.77514e-06	-1.07778e-08 1.11777e-08	-2.37422e-08 6.65669e-09	-1.42247e-10 6.84084e-11	-7.32272e-11 2.15314e-11	
54.5	26.6077	13.5	-1.24265e-07 3.37606e-08	-1.69231e-07 2.21918e-06	-2.6554e-08 1.48761e-08	-1.55139e-08 3.9923e-09	-1.74545e-10 8.25348e-11	-4.39304e-11 1.23319e-11	
55.5	24.8346	13	-1.1449e-07 3.45544e-08	3.88802e-06 2.34925e-06	-3.64361e-08 1.26983e-08	-1.66538e-08 3.04237e-09	-1.55454e-10 4.69304e-11	-3.28376e-11 1.05016e-11	
56.5	23.7011	12.5	-1.1739e-07 5.34917e-08	6.30266e-06 2.30895e-06	-2.73299e-08 1.35143e-08	-1.35185e-08 3.24772e-09	-9.40075e-11 5.209e-11	-3.50303e-11 1.01868e-11	
57.5	22.4432	12	-9.27492e-08 2.82867e-08	3.98849e-06 2.42696e-06	-6.42528e-09 7.70392e-09	-1.29571e-08 4.09224e-09	-7.67466e-11 4.2966e-11	-1.80696e-11 7.07939e-12	
58.5	21.6996	11.5	-7.95859e-08 2.62006e-08	5.04539e-06 2.39575e-06	-1.41638e-08 6.94267e-09	-1.57514e-08 3.64102e-09	-1.49902e-10 4.87103e-11	-3.35998e-11 9.34363e-12	
59.5	20.7852	11	-6.97289e-08 1.47561e-08	-1.26355e-06 1.48404e-06	-1.31164e-08 5.69031e-09	-1.61261e-08 2.42861e-09	-4.79377e-11 1.42058e-11	-2.91706e-11 7.08578e-12	
60.5	19.5594	10.5	-8.05771e-08 1.79292e-08	-9.37237e-07 1.51229e-06	-2.31444e-08 7.46574e-09	-1.75218e-08 3.58029e-09	-7.58334e-11 1.7567e-11	-3.03421e-11 8.58748e-12	
61.5	18.8833	10	-3.57537e-08 9.94419e-09	-2.49928e-06 1.0146e-06	-1.02473e-08 3.83531e-09	-9.34541e-09 1.86005e-09	-1.04631e-10 2.1279e-11	-9.91757e-12 3.17949e-12	
62.5	17.435	9.5	-5.08785e-08 1.3048e-08	-3.50631e-06 1.80991e-06	-1.24053e-08 7.31319e-09	-1.72948e-08 3.35334e-09	-8.71211e-11 2.55072e-11	-1.69295e-11 3.57256e-12	
63.5	16.7762	9	-8.62683e-08 2.13039e-08	-4.9156e-06 1.20735e-06	-1.92124e-08 5.60061e-09	-1.69751e-08 3.44819e-09	-8.45397e-11 2.28368e-11	-1.48915e-11 3.53783e-12	
64.5	15.6577	9	-5.62282e-08 1.84728e-08	-4.51706e-06 1.17353e-06	-1.4517e-08 5.5266e-09	-1.1001e-08 1.93643e-09	-8.12425e-11 3.952e-11	-1.19106e-11 2.78694e-12	
65.5	14.8497	8.5	-5.18453e-08 1.58071e-08	-3.34757e-06 1.07613e-06	-7.4891e-09 2.19623e-09	-7.91071e-09 2.59499e-09	-8.76807e-11 2.17391e-11	-1.10578e-11 2.87569e-12	
66.5	14.0573	8	-6.95094e-08 2.07869e-08	-4.7218e-06 9.05798e-07	-1.3289e-08 3.00784e-09	-8.32186e-09 1.64301e-09	-3.27431e-11 7.88995e-12	-6.74597e-12 1.73364e-12	
67.5	13.1555	8	-3.37032e-08 9.01344e-09	-6.55426e-06 9.95346e-07	-1.42801e-08 3.90167e-09	-5.73486e-09 1.31429e-09	-3.4716e-11 1.02331e-11	-8.80898e-12 3.54917e-12	
68.5	12.3704	7.5	-3.35472e-08 1.15291e-08	-5.71956e-06 8.05732e-07	-1.38729e-08 3.8981e-09	-6.45905e-09 1.1206e-09	-3.15962e-11 9.5509e-12	-4.0566e-12 1.02178e-12	
69.5	11.6351	7	-2.76896e-08 7.74345e-09	-4.15734e-06 6.77287e-07	-1.24123e-08 3.40061e-09	-5.11922e-09 1.17387e-09	-2.39311e-11 1.02519e-11	-6.59032e-12 2.04858e-12	
70.5	11.0455	7	-5.70026e-08 1.80928e-08	-5.61458e-06 8.46673e-07	-9.15499e-09 1.79066e-09	-4.2679e-09 8.54774e-10	-4.75444e-11 1.45579e-11	-3.13292e-12 7.16939e-13	
71.5	10.3058	6.5	-5.7547e-08 1.84984e-08	-4.24942e-06 6.26248e-07	-6.58196e-09 1.21254e-09	-3.05473e-09 7.01137e-10	-2.40424e-11 1.19024e-11	-5.75464e-12 3.69088e-12	
