Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
54.5	49.2422	56	0.157585 7.03643e-05	0.103142 0.00054994	0.150318 0.00220981	0.0699004 1.02549e-05	0.0693954 1.6399e-05	0.00310032 0.000500151	
55.5	46.3765	53.5	0.155808 0.000108302	0.0992535 0.000600594	0.155705 0.00188721	0.0633447 0.000189793	0.0632631 0.000474736	0.000513157 0.00184954	
56.5	43.4107	50.5	0.155275 7.61396e-06	0.0993449 0.00010727	0.150046 1.88311e-05	0.0622318 1.15188e-05	0.0700619 2.78322e-05	-0.0481277 4.64155e-05	
57.5	41.4004	48	0.153814 0.000189528	0.0858896 0.000983123	0.181327 0.00285934	0.0601945 5.82565e-06	0.0629076 0.000377865	-0.0161988 0.00243347	
58.5	38.2329	45.5	0.155912 7.22857e-05	0.0857752 0.00262586	0.177924 0.00546989	0.0579961 6.63549e-06	0.0684805 3.38917e-05	-0.0584555 0.000200116	
59.5	35.8919	43	0.153691 8.30443e-05	0.0895097 0.0016722	0.164011 0.00424467	0.0578435 4.9404e-05	0.0601095 0.000200903	-0.0124409 0.000855978	
60.5	34.1301	41	0.151679 1.67453e-05	0.0851154 0.00281871	0.166461 0.00606733	0.0558309 3.19176e-06	0.0656234 1.19386e-05	-0.051008 4.65158e-05	
61.5	31.5632	38.5	0.150406 2.47777e-05	0.0842283 0.00026912	0.163041 0.00118678	0.0522932 3.51249e-05	0.0655057 7.54822e-05	-0.0661412 0.000130595	
62.5	29.2216	36	0.147979 3.09587e-05	0.0802757 0.000127026	0.168607 0.000378696	0.0471986 3.79776e-06	0.0604624 1.73985e-05	-0.0648014 6.5318e-05	
63.5	27.2529	34	0.149572 4.31944e-05	0.0876611 0.00245084	0.147476 0.00492956	0.0484365 2.76183e-05	0.060695 0.00011362	-0.0579473 0.000512895	
64.5	25.4615	32	0.144035 1.48287e-05	0.0832683 0.000441174	0.143238 0.00157871	0.0430542 3.96624e-05	0.0611237 0.000206583	-0.0778394 0.000818897	
65.5	23.4401	30	0.145563 4.86905e-06	0.0970537 0.0022595	0.113342 0.00448236	0.0451294 6.7676e-07	0.0595286 4.32449e-06	-0.0682291 1.58644e-05	
66.5	22.2147	28	0.145088 1.25245e-06	0.0868513 3.33156e-05	0.131622 4.61845e-05	0.039925 5.04429e-05	0.0571059 0.000111178	-0.0769935 0.000209654	
67.5	20.6844	26.5	0.141639 0.000176024	0.0851594 0.00243278	0.125619 0.00521977	0.0373631 3.23313e-05	0.053374 0.000108257	-0.0722553 0.000349645	
68.5	19.0608	25	0.142203 1.24836e-05	0.0893472 4.15306e-05	0.118856 0.000250938	0.0366475 2.72694e-05	0.0537184 5.87529e-05	-0.0730219 0.000109807	
69.5	17.4793	23	0.135968 2.42744e-05	0.0925988 0.0001231	0.0945414 0.000367557	0.0323689 4.5932e-05	0.0519679 6.08905e-05	-0.0826388 0.000486016	
70.5	16.0762	21.5	0.133225 7.51999e-05	0.0912374 0.00632472	0.0898534 0.00980475	0.0278163 1.34835e-05	0.0471868 8.55628e-05	-0.0772887 0.000292721	
71.5	14.2377	20	0.127516 8.47892e-06	0.0914381 0.000124079	0.0766842 0.0007301	0.0249763 7.50168e-05	0.0454356 1.3503e-06	-0.0790983 0.000339554	
72.5	13.1409	18.5	0.127752 4.22103e-05	0.09363 0.00275577	0.0709915 0.0054123	0.0261688 2.66543e-05	0.0512628 0.000223644	-0.0970662 0.000850722	
73.5	12.2663	17.5	0.120429 0.000265823	0.114083 0.00399023	0.0131702 0.00657662	0.0200673 0.000231136	0.0408901 0.0004994	-0.0736234 0.00100326	
74.5	11.3689	16.5	0.123116 7.003e-06	0.0973448 6.50249e-05	0.0513543 0.000116632	0.0192937 9.15102e-05	0.0411778 0.000311951	-0.0799093 0.000847492	
75.5	10.2166	15	0.118584 0.00023121	0.112193 0.00229811	0.0128502 0.00273171	0.0194431 9.15949e-05	0.0410067 0.000288317	-0.079259 0.00044046	
76.5	9.04933	13.5	0.109831 2.45038e-05	0.114057 0.000453941	-0.00825278 0.0013567	0.0170747 2.05084e-05	0.0395849 0.000116993	-0.0795453 0.000500934	
77.5	8.24322	12.5	0.108476 7.91451e-05	0.110293 0.00206031	-0.00359769 0.0038478	0.0171126 6.67943e-05	0.0401849 0.000257558	-0.0769712 0.000613658	
78.5	7.55578	11.5	0.104188 8.67523e-06	0.125061 4.63728e-05	-0.0395724 0.000297993	0.0127917 2.47034e-05	0.033411 6.34748e-05	-0.0681511 0.000145953	
79.5	6.74383	10.5	0.104618 3.97033e-05	0.136228 0.000382444	-0.0601291 0.000687216	0.0136107 6.08836e-05	0.0353682 0.00133666	-0.0678768 0.00260972	
80.5	nan	9.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
81.5	nan	9	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
82.5	nan	8.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
83.5	nan	7.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
84.5	nan	6.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
85.5	nan	6	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
86.5	nan	5.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
88.5	nan	4.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
89.5	nan	4	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
90.5	nan	3.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
91.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
93.5	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
94.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
96.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
98.5	nan	1	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
99.5	nan	0	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
