Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
37.5	125.833	119	0.885405 0.0124677	0.701105 0.0496461	-0.535162 0.24609	
38.5	120.043	114.5	0.866133 0.0134148	0.654736 0.056914	0.515533 0.138775	
39.5	115.584	110	0.903115 0.00929291	0.573805 0.101304	0.519242 0.162059	
40.5	110.578	105.5	0.869856 0.0131944	0.295296 0.875169	0.59647 0.0785301	
41.5	95.4008	101	0.878962 0.00744714	0.502906 0.132294	0.629088 0.0455811	
42.5	90.9797	97	0.852344 0.00970445	0.463914 0.14414	-0.447735 0.198953	
43.5	87.6032	93	0.860019 0.00829175	0.412148 0.197758	0.485583 0.112361	
44.5	82.4555	89	0.835699 0.0105159	0.546746 0.0723997	0.329356 0.324133	
45.5	79.542	85.5	0.799335 0.0189665	-0.557693 0.114436	-0.651305 0.245403	
46.5	76.2106	82	0.84536 0.00945027	-0.436613 0.202001	0.469176 0.146456	
47.5	71.4493	78.5	0.837575 0.0111804	0.53915 0.0896105	0.465842 0.12498	
48.5	68.6503	75	0.808263 0.0123015	0.403892 0.185966	-0.144553 1.57074	
49.5	64.1843	71.5	0.811521 0.01381	0.494292 0.105073	-0.398168 0.325358	
50.5	60.8016	68.5	0.804511 0.0140846	0.561197 0.0714809	-0.265758 0.663012	
51.5	57.5133	65	0.802811 0.0122435	0.426963 0.144239	-0.399086 0.268833	
52.5	53.9891	61.5	0.803936 0.0134443	0.520508 0.0872307	0.565744 0.0650559	
53.5	51.2351	58.5	0.785554 0.0150756	0.406119 0.186775	-0.539783 0.109504	
54.5	49.2422	56	0.791213 0.0174182	-0.416566 0.310353	-0.501608 0.193691	
55.5	46.3765	53.5	0.746652 0.0199469	-0.395527 0.323751	-0.569382 0.0942991	
56.5	43.4107	50.5	0.79301 0.0148379	0.479254 0.104337	-0.608848 0.0959455	
57.5	41.4004	48	0.715351 0.028424	0.509166 0.102566	-0.634061 0.0765991	
58.5	38.2329	45.5	0.737856 0.0195936	0.58393 0.0483005	-0.590788 0.0774085	
59.5	35.8919	43	0.720466 0.0264536	0.430195 0.161267	-0.596861 0.0820771	
60.5	34.1301	41	0.710127 0.0284139	0.467253 0.165914	-0.645944 0.0745349	
61.5	31.5632	38.5	0.708869 0.0208978	-0.34153 0.387939	-0.634208 0.0584001	
62.5	29.2216	36	0.692954 0.0291375	0.467745 0.121817	-0.707841 0.0648636	
63.5	27.2529	34	0.743738 0.0218616	0.464151 0.128952	-0.744297 0.0647509	
64.5	25.4615	32	0.725691 0.0234968	0.5487 0.0733309	-0.62053 0.0658274	
65.5	23.4401	30	0.712637 0.0250065	0.58673 0.0526037	-0.642472 0.0736646	
66.5	22.2147	28	0.688767 0.0261907	0.414923 0.17866	-0.67021 0.0531711	
67.5	20.6844	26.5	0.682584 0.0378244	0.350987 0.357944	-0.705592 0.0581638	
68.5	19.0608	25	0.715629 0.0201808	-0.269008 0.616022	-0.597501 0.0769381	
69.5	17.4793	23	0.637659 0.0325455	-0.444769 0.142636	-0.644079 0.0524346	
70.5	16.0762	21.5	0.639293 0.0563409	-0.266129 0.814082	-0.710609 0.0869443	
71.5	14.2377	20	0.637139 0.0401139	-0.533444 0.11883	-0.694464 0.0491386	
72.5	13.1409	18.5	0.587245 0.0701503	0.488922 0.132712	-0.729733 0.0759344	
73.5	12.2663	17.5	0.645952 0.0518168	0.489676 0.142085	-0.723966 0.0730022	
74.5	11.3689	16.5	0.634086 0.0503704	-0.626437 0.0957939	-0.643157 0.081581	
75.5	10.2166	15	0.60578 0.0416717	-0.716048 0.0558983	-0.670422 0.0488696	
76.5	9.04933	13.5	0.425644 0.181915	-0.758231 0.109751	-0.680351 0.0667063	
77.5	8.24322	12.5	0.529063 0.0914747	-0.622779 0.0983724	-0.744752 0.0543428	
78.5	7.55578	11.5	-0.440566 0.171458	0.406518 0.215278	-0.565066 0.0924491	
79.5	6.74383	10.5	-0.481016 0.125135	-0.424 0.221078	-0.715489 0.0554089	
80.5	nan	9.5	nan nan	nan nan	nan nan	
81.5	nan	9	nan nan	nan nan	nan nan	
82.5	nan	8.5	nan nan	nan nan	nan nan	
83.5	nan	7.5	nan nan	nan nan	nan nan	
84.5	nan	6.5	nan nan	nan nan	nan nan	
85.5	nan	6	nan nan	nan nan	nan nan	
86.5	nan	5.5	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	
88.5	nan	4.5	nan nan	nan nan	nan nan	
89.5	nan	4	nan nan	nan nan	nan nan	
90.5	nan	3.5	nan nan	nan nan	nan nan	
91.5	nan	3	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	
93.5	nan	2.5	nan nan	nan nan	nan nan	
94.5	nan	2	nan nan	nan nan	nan nan	
95.5	nan	2	nan nan	nan nan	nan nan	
96.5	nan	2	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	
98.5	nan	1	nan nan	nan nan	nan nan	
99.5	nan	0	nan nan	nan nan	nan nan	
