Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
75.5	20.3735	14.5	0.0303918 0.00171289	 0.0753175 0.00214612	 0.015736 0.000545698	 0.0125132 0.000472136	 0.00397565 0.000141409	 0.00231989 0.000101438	 
76.5	18.8016	13	0.0278671 0.00135643	 0.0673726 0.00193814	 0.0167291 0.000560932	 0.0114557 0.000425875	 0.00398298 0.000137464	 0.00221402 9.32564e-05	 
77.5	17.0659	12	0.0263433 0.0015307	 0.0686621 0.00215497	 0.0139194 0.000521718	 0.0112687 0.000449461	 0.00359774 0.000153545	 0.00217284 9.88642e-05	 
78.5	15.4868	11.5	0.0271805 0.00139218	 0.0634606 0.00202942	 0.0143059 0.000496242	 0.00997318 0.000441824	 0.00348361 0.000136619	 0.00197624 8.59293e-05	 
79.5	14.0961	10.5	0.0264652 0.00157409	 0.0602666 0.00215323	 0.0127026 0.00049353	 0.00954442 0.000427514	 0.00301293 0.000136436	 0.00177739 7.58659e-05	 
80.5	12.5582	9.5	0.0251359 0.00168086	 0.0557675 0.00196444	 0.0125104 0.000502877	 0.00806222 0.000383226	 0.00296822 0.000137166	 0.0014544 6.46607e-05	 
81.5	11.3933	8.5	0.0227345 0.00130081	 0.052806 0.00197104	 0.0104796 0.000380797	 0.00823626 0.000413674	 0.00244447 9.13544e-05	 0.00154602 7.16988e-05	 
82.5	10.1553	8	0.0223538 0.00118201	 0.0480933 0.00194453	 0.00996492 0.000396508	 0.00684632 0.000338232	 0.00224493 0.000107708	 0.00132049 6.12675e-05	 
83.5	9.05287	7.5	0.0219603 0.00135914	 0.0470428 0.00212783	 0.00823678 0.000353692	 0.00634612 0.00034694	 0.00177395 8.56242e-05	 0.00123028 6.2225e-05	 
84.5	8.05685	6.5	0.0199937 0.0012705	 0.0454003 0.00194858	 0.00842366 0.000360424	 0.00575457 0.000322013	 0.00178534 0.000125003	 0.0010802 4.99482e-05	 
85.5	7.15386	6	0.0208379 0.00131771	 0.0410513 0.00186864	 0.00767012 0.000351297	 0.00519699 0.000295332	 0.00155668 8.52483e-05	 0.00104474 4.79056e-05	 
86.5	6.3347	5.5	0.0172225 0.00131313	 0.0353902 0.00197568	 0.00691679 0.000381606	 0.00401958 0.000267002	 0.00113414 6.79455e-05	 0.000804334 4.216e-05	 
87.5	5.51672	5	0.0161751 0.00106716	 0.0369156 0.00194801	 0.00572462 0.000315564	 0.00384875 0.000255122	 0.000895459 6.44508e-05	 0.000811551 3.76693e-05	 
88.5	4.84403	4.5	0.0135213 0.00113933	 0.0285835 0.00182458	 0.00463096 0.000277419	 0.0026992 0.000199199	 0.0008006 5.8323e-05	 0.000646317 3.68143e-05	 
89.5	4.12099	4	0.0118038 0.000907454	 0.0259504 0.00146309	 0.00425604 0.00025422	 0.00222579 0.000148844	 0.000720871 5.8628e-05	 0.000579351 3.29711e-05	 
90.5	3.58475	4	0.00945039 0.000709333	 0.0274165 0.00151384	 0.00355514 0.000241213	 0.001974 0.000143778	 0.000493243 3.25838e-05	 0.000505472 2.71541e-05	 
91.5	3.02614	3.5	0.00708805 0.000631131	 0.0228122 0.00138597	 0.00261945 0.000177363	 0.00111964 9.73704e-05	 0.000332452 2.33543e-05	 0.000369271 2.41332e-05	 
92.5	2.55304	3	0.00524467 0.000482558	 0.0194207 0.00125926	 0.00212227 0.000150817	 0.000690796 6.2926e-05	 0.000241005 1.61592e-05	 0.000283868 2.1101e-05	 
93.5	2.0837	2.5	0.00206526 0.00024465	 0.0174891 0.00122349	 0.00149426 0.000124104	 0.000501678 4.95769e-05	 0.000190964 1.42142e-05	 0.000229415 2.09906e-05	 
94.5	1.68128	2	0.0011227 0.000160417	 0.0152597 0.00117287	 0.000994211 9.82051e-05	 0.000232297 1.75334e-05	 0.000118554 9.16348e-06	 0.00014488 1.3546e-05	 
95.5	1.31886	2	0.000489011 3.56364e-05	 0.0105364 0.000869525	 0.000520205 5.03621e-05	 0.000150535 1.14348e-05	 7.79446e-05 7.58504e-06	 6.23554e-05 6.60289e-06	 
96.5	0.959325	2	0.000724541 5.93225e-05	 0.0093676 0.000686549	 0.000249499 2.34925e-05	 0.000148645 1.03074e-05	 7.63305e-05 8.1236e-06	 4.68407e-05 4.35622e-06	 
97.5	0.646066	2	0.00108854 8.11624e-05	 0.00327821 0.000408831	 0.000134531 2.03138e-05	 5.66605e-05 6.50573e-06	 4.00493e-05 4.33792e-06	 2.28716e-05 3.86059e-06	 
98.5	0.336555	2	0.00138704 7.30496e-05	 0.0021087 0.000341941	 0.000155648 1.6094e-05	 4.4376e-05 7.36224e-06	 2.92809e-05 1.4524e-06	 2.21631e-05 1.21369e-06	 
99.5	0.107209	0	0.00272523 0.000162344	 0.000353571 6.49062e-05	 0.000102907 6.04825e-06	 4.21661e-05 2.42064e-06	 1.80932e-05 8.87709e-07	 1.85415e-05 8.85253e-07	 
