Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
14.5	605.323	269	0.239204 3.85477e-06	0.231315 0.000860749	0.0764291 0.0157781	0.168256 8.08839e-06	0.173773 3.09952e-05	-0.0964019 0.000482852	
15.5	584.105	260.5	0.235341 0.000158046	0.224225 0.00188969	0.107062 0.0231263	0.174176 8.5119e-05	0.177505 0.00300353	-0.0621098 0.0505887	
16.5	561.418	252	0.233208 2.25143e-05	0.227461 0.0114704	0.0531153 0.0823932	0.165348 6.07577e-06	0.176311 0.00369198	-0.187395 0.0580219	
17.5	539.465	244	0.233406 1.55936e-05	0.213149 0.00081974	0.15886 0.0112776	0.165949 2.98362e-06	0.160439 1.01556e-05	0.0945776 0.00225665	
18.5	519.856	236	0.228988 3.33899e-06	0.212145 1.48699e-05	0.125597 9.23493e-05	0.161492 0.000160862	0.157261 0.000407666	0.0737737 0.00545801	
19.5	499.744	228.5	0.228784 0.000127057	0.21046 0.00090874	0.130945 0.00997568	0.159084 1.48006e-06	0.159178 5.09056e-06	-0.00150422 5.74915e-05	
20.5	480.676	221	0.227601 1.5717e-05	0.209134 0.00650151	0.1268 0.0408427	0.154768 7.70414e-05	0.159598 0.000333623	-0.0715615 0.00678277	
21.5	462.387	213.5	0.230478 0.000139845	0.215026 0.000854	0.102409 0.00770199	0.155654 1.01147e-05	0.159014 1.13282e-05	-0.0421769 0.000344786	
22.5	442.747	206.5	0.230178 5.45348e-05	0.210465 0.00443738	0.120338 0.0272066	0.153906 4.11722e-06	0.153653 1.35829e-05	0.00399877 0.000150636	
23.5	427.013	199.5	0.229019 0.000178097	0.20653 0.00184587	0.141456 0.0186468	0.150285 1.16684e-05	0.15434 0.00235093	-0.0463411 0.0280612	
24.5	407.933	192.5	0.230087 2.31925e-05	0.211533 0.00573625	0.105562 0.0317003	0.154158 0.000119952	0.157015 0.000583132	-0.037523 0.00982261	
25.5	392.694	186	0.227116 8.35295e-06	0.206264 0.0021714	0.112701 0.0171062	0.144962 5.10624e-05	0.151948 6.70138e-05	-0.0797463 0.00111129	
26.5	375.834	179.5	0.223514 4.4599e-05	0.199733 0.000186074	0.117214 0.00160089	0.141046 3.13502e-06	0.147376 9.50654e-06	-0.0802974 0.000510608	
27.5	359.405	173	0.224871 0.000169346	0.198558 0.012671	0.130842 0.0471063	0.140324 0.000189321	0.148535 0.000390455	-0.0878345 0.000803329	
28.5	346.942	167	0.223122 3.43273e-05	0.203628 0.00269944	0.098029 0.0178677	0.136229 9.14261e-05	0.139692 0.000210896	-0.0428389 0.00106224	
29.5	329.826	161	0.222744 7.46079e-05	0.200805 0.000640038	0.104571 0.00553966	0.135353 6.61115e-05	0.144645 0.000290429	-0.102767 0.00413568	
30.5	318.217	155	0.219383 4.34956e-05	0.195481 0.00674874	0.111249 0.0306197	0.138733 1.40041e-05	0.136453 9.34706e-05	0.023088 0.00331488	
31.5	304.728	149	0.218731 4.53694e-05	0.19513 0.000501898	0.0994151 0.00456942	0.131742 3.16989e-05	0.134863 0.000115557	-0.0314831 0.000857617	
32.5	292.01	143.5	0.219233 5.15139e-05	0.190009 0.00115067	0.118701 0.00813728	0.131793 0.000140161	0.130429 0.000349101	0.0126167 0.00112748	
33.5	276.981	138.5	0.218635 6.195e-05	0.186637 0.00190953	0.129802 0.0115868	0.128986 8.88616e-06	0.134958 1.98073e-05	-0.0624933 0.000101344	
34.5	266.037	133	0.217202 0.000303427	0.19109 0.00384222	0.10234 0.0159584	0.127053 0.000306949	0.126146 0.000978009	0.00815915 0.00822216	
35.5	253.598	127.5	0.215503 0.000128918	0.190528 0.023491	0.097957 0.0592364	0.120427 6.50083e-05	0.125205 0.000203177	-0.0366736 0.00101267	
36.5	241.841	122.5	0.211671 2.72053e-05	0.180759 0.0116833	0.117528 0.0352809	0.12384 7.17885e-05	0.124315 0.000231592	-0.0037752 0.0012492	
37.5	231.078	118	0.209472 3.93546e-05	0.179756 3.28182e-05	0.119508 0.00223039	0.119358 1.88214e-05	0.137984 0.000133889	-0.14693 0.00131315	
38.5	220.952	113.5	0.210768 0.00018155	0.183012 0.0127068	0.101897 0.0353247	0.115542 0.000109769	0.123569 0.00179154	-0.0567972 0.0131692	
39.5	210.193	108.5	0.210656 6.81028e-05	0.179353 0.0142326	0.109093 0.0364044	0.121589 4.34884e-05	0.126896 0.000325921	-0.0423731 0.00396314	
40.5	200.734	104	0.204142 5.02997e-06	0.17215 0.00011537	0.111489 3.30886e-05	0.107186 0.00010755	0.115126 0.00020055	-0.0593976 9.01892e-05	
41.5	190.571	100	0.201466 3.64614e-05	0.173985 0.00112915	0.0976548 0.00671762	0.115775 0.000214603	0.116651 0.000392532	-0.00583258 0.00587072	
42.5	180.415	96	0.204075 1.9054e-05	0.169848 0.000476234	0.112842 0.00403186	0.109043 0.000197137	0.121921 0.000220301	-0.0827393 0.00122033	
43.5	173.041	92	0.199616 0.000172505	0.169373 0.0100168	0.0988649 0.0255681	0.105459 0.000145884	0.113334 0.000350819	-0.0433521 0.000671089	
44.5	163.119	88	0.201312 4.59891e-05	0.155578 0.000970409	0.138478 0.0056143	0.100265 2.14834e-05	0.104966 2.69724e-05	-0.0292559 0.00101438	
45.5	154.381	84	0.198859 6.27013e-07	0.159298 9.9311e-05	0.120835 0.00044747	0.106118 1.64864e-05	0.105436 0.000103985	0.00389317 0.00121738	
46.5	146.461	80	0.196626 7.25811e-05	0.160557 0.000288586	0.108552 0.000927176	0.097531 4.41877e-05	0.0999033 0.000158619	-0.0142385 0.000918073	
47.5	138.757	76.5	0.192774 0.000217683	0.146089 0.00199176	0.14107 0.00806544	0.098557 7.92569e-06	0.118891 6.70257e-05	-0.113979 0.00034605	
48.5	132.032	73	0.190353 0.000137492	0.144811 0.000955477	0.132597 0.00435386	0.0948516 9.76287e-05	0.107198 0.000315673	-0.066402 0.00115517	
49.5	124.97	69.5	0.189381 9.51129e-05	0.15907 0.000795394	0.0889832 0.00531145	0.0918522 2.90141e-06	0.0962162 0.000165051	-0.0230583 0.00173444	
50.5	117.441	66.5	0.191391 2.27819e-05	0.155072 0.0058937	0.101175 0.0165683	0.0907681 1.19249e-05	0.0987794 3.78348e-05	-0.0419333 0.000133907	
51.5	111.714	63	0.184632 0.000176908	0.150386 0.00115823	0.0909858 0.00437659	0.0858333 0.000143572	0.0942057 0.000788314	-0.0419552 0.00455115	
52.5	104.88	59.5	0.181383 0.000180425	0.149824 0.0247332	0.0822483 0.0406393	0.0832778 2.96122e-06	0.0945337 4.63281e-05	-0.0567125 0.000321833	
53.5	99.2914	56.5	0.177664 1.26079e-05	0.137858 0.00107759	0.100882 0.00496681	0.0749468 2.46677e-05	0.0832248 0.00358356	-0.0368246 0.0117566	
54.5	93.3645	54	0.176778 9.90154e-05	0.142541 0.00797071	0.0906926 0.0178464	0.0812111 0.000143237	0.0878093 0.000513633	-0.0326307 0.00254452	
55.5	88.0027	51.5	0.174426 0.000124493	0.13587 0.0191531	0.0960053 0.0331541	0.0721673 3.41869e-05	0.0845181 7.24234e-05	-0.060012 5.56306e-05	
56.5	82.545	48.5	0.171655 0.000115536	0.126189 0.0106718	0.101319 0.0196292	0.070226 0.000143317	0.0794537 0.000661463	-0.0430358 0.00324996	
57.5	77.0972	46	0.165622 2.9263e-05	0.123984 0.00036926	0.0998554 0.000384283	0.0672618 9.98597e-05	0.084093 1.0129e-05	-0.0784685 0.00118013	
58.5	73.1593	43.5	0.162829 3.52771e-06	0.123994 0.00168725	0.0923512 0.00597246	0.0659242 4.6061e-06	0.0769986 1.3587e-05	-0.04336 3.81122e-05	
59.5	67.4209	41	0.16565 0.000239709	0.13752 0.0169909	0.0662324 0.029111	0.0655904 5.89406e-05	0.0842205 0.00012705	-0.080255 0.000260986	
60.5	64.2022	39	0.161839 1.0868e-05	0.125122 0.00486268	0.0825155 0.0109913	0.0640293 5.6748e-05	0.0831083 0.000160606	-0.0813257 0.000366872	
61.5	59.7218	36.5	0.154329 2.552e-05	0.121518 0.00239803	0.0731025 0.00681062	0.0552625 9.95109e-05	0.0654024 0.00112001	-0.0399942 0.00459514	
62.5	55.6917	34	0.155606 9.85161e-05	0.133021 0.00112029	0.0500673 0.0038519	0.0567582 1.84096e-05	0.0687914 0.00180444	-0.0465884 0.00614674	
63.5	51.6008	32	0.150711 0.000107735	0.11783 0.00667025	0.0706277 0.0130047	0.0543876 6.11969e-05	0.0674564 1.65558e-05	-0.0527309 0.000576982	
64.5	49.2562	30	0.140641 1.866e-05	0.0928211 0.000228858	0.106813 0.00024082	0.0487077 0.000118326	0.0596339 1.56291e-05	-0.0408145 0.000971352	
65.5	45.5937	28.5	0.143113 5.89471e-05	0.12019 0.000444561	0.0471078 0.00098893	0.0472285 0.000195928	0.0475569 0.000750886	-0.00131698 0.00266795	
66.5	42.8748	27	0.135508 6.03264e-05	0.113844 0.000642704	0.0456062 0.00240895	0.0413367 0.000371918	0.0543687 0.00299723	-0.0432945 0.00842447	
67.5	39.0919	25	0.131099 1.67479e-05	0.12316 0.00166003	0.0160822 0.00472337	0.0436174 2.07157e-06	0.0519556 1.3738e-05	-0.0294137 3.90189e-05	
68.5	36.8155	23.5	0.124921 7.13698e-05	0.129525 0.00247107	-0.00931365 0.00604733	0.0345808 5.67392e-05	0.0556536 0.000419369	-0.079789 0.00187914	
69.5	33.966	22	0.115234 0.000133672	0.117134 0.00330456	-0.00374602 0.00722901	0.0294401 3.18105e-06	0.0531276 0.00011709	-0.0800524 0.000383917	
70.5	31.0704	20.5	0.120006 3.04588e-05	0.116789 0.00820119	0.00639125 0.0136009	0.0292594 6.60186e-05	0.0503514 0.000333266	-0.0709717 0.000972797	
71.5	28.8611	19	0.118357 0.00028478	0.114511 0.00238821	0.00760771 0.00629817	0.0315181 0.000123166	0.0545118 0.000285089	-0.0797375 0.000550016	
72.5	26.5317	17.5	0.10886 0.000485209	0.121817 0.003287	-0.0263304 0.00658895	0.0291152 2.75323e-05	0.0446906 6.02288e-06	-0.053398 0.000134511	
73.5	24.4893	16.5	0.10379 0.000500597	0.123749 0.00420906	-0.0386962 0.00664344	0.0269847 0.000239292	0.0447939 0.000991898	-0.0572668 0.00193028	
74.5	22.4755	15.5	0.0976714 0.000169653	0.142049 0.0016086	-0.0849487 0.00388863	0.0228216 3.5603e-06	0.04366 5.25249e-05	-0.0642253 0.00014798	
75.5	20.3735	14.5	0.0949689 0.000170418	0.147675 0.00157124	-0.0993314 0.0030511	0.0203628 7.28826e-05	0.0369257 8.06994e-05	-0.0562426 1.72816e-05	
76.5	18.8016	13	0.0809264 0.000559404	0.129234 0.00929902	-0.0951814 0.0149981	0.021806 2.81945e-06	0.0436924 3.96079e-06	-0.0678012 9.07408e-06	
77.5	17.0659	12	0.0787524 0.000129172	0.125569 0.000717396	-0.0846922 0.00222964	0.0163559 9.99564e-05	0.0343111 9.44751e-05	-0.0579378 9.13766e-05	
78.5	15.4868	11.5	0.0702065 0.000323058	0.122411 0.000610094	-0.0976568 0.00222075	0.0148939 5.45522e-06	0.0345564 1.22084e-05	-0.0564228 2.65132e-05	
79.5	14.0961	10.5	0.0689662 0.000243493	0.119444 0.000306331	-0.0902236 0.000380504	0.0135672 0.000100094	0.0327183 0.000259787	-0.0574364 0.000515394	
80.5	12.5582	9.5	0.0638815 9.40392e-05	0.123071 1.94492e-05	-0.112418 0.00044201	0.0149826 1.14785e-05	0.0346414 2.99215e-06	-0.0594868 1.2588e-05	
81.5	11.3933	8.5	0.0576416 0.000209473	0.124542 0.000269808	-0.121904 0.000152367	0.0106983 5.17574e-05	0.026235 0.000166488	-0.042967 0.000337529	
82.5	10.1553	8	0.0535915 1.44344e-05	0.104216 0.000186852	-0.095618 0.000307524	0.0100975 1.10211e-06	0.0261998 6.60966e-06	-0.0486457 1.54582e-05	
83.5	9.05287	7.5	0.0523042 0.000464417	0.114251 0.000802235	-0.109067 0.00248503	0.0088656 3.19981e-06	0.0225969 1.14323e-05	-0.0361914 2.28333e-05	
84.5	8.05685	6.5	0.0571711 0.000487963	0.0980647 0.00223809	-0.0766458 0.00479989	0.0108371 7.617e-06	0.024732 2.02496e-05	-0.0388406 4.06286e-05	
85.5	7.15386	6	0.0468328 4.52065e-05	0.102926 0.00050345	-0.103387 0.000817073	0.00971202 1.18788e-06	0.0241 9.38781e-06	-0.0414217 2.07536e-05	
86.5	6.3347	5.5	0.038178 0.000392243	0.10665 0.00423575	-0.124333 0.00539118	0.00778636 4.88774e-05	0.021552 0.000276274	-0.0356679 0.000544492	
87.5	5.51672	5	0.0488977 1.95527e-09	0.116096 1.54299e-08	-0.129209 2.43848e-08	0.00693701 2.33954e-10	0.0201628 8.79808e-10	-0.038608 1.88257e-09	
88.5	4.84403	4.5	0.0380045 0.000646736	0.0996374 0.00138661	-0.112497 0.00113942	0.00571223 2.71248e-05	0.0164092 8.78111e-05	-0.0273844 0.000168055	
89.5	4.12099	4	0.0279905 0.00013686	0.0915786 0.00232456	-0.119026 0.00351731	0.00392579 8.10184e-06	0.013523 5.90802e-05	-0.0238206 0.000112769	
90.5	3.58475	4	0.042604 0.000337165	0.107463 0.00157813	-0.137774 0.00275609	0.00524197 0.000131102	0.0178717 0.00101456	-0.0349585 0.002065	
91.5	3.02614	3.5	0.0351949 6.27967e-05	0.102136 7.72348e-05	-0.12971 0.000155082	0.00225936 2.43309e-05	0.0107875 7.38922e-05	-0.0219267 0.00014218	
92.5	2.55304	3	0.0337029 0.000192038	0.0920003 0.000301665	-0.11372 0.000359986	0.00297686 4.15779e-05	0.00995793 0.000118498	-0.0227747 0.000271818	
93.5	2.0837	2.5	0.0266077 0.000144568	0.0925383 0.000194606	-0.124583 0.000252329	0.00172391 1.92214e-05	0.00642893 7.13958e-05	-0.0106644 0.000123813	
94.5	1.68128	2	0.0246139 4.50463e-11	0.100292 1.76355e-08	-0.14173 2.77579e-08	0.00134132 9.71925e-11	0.00471031 3.7908e-10	-0.00945606 7.89288e-10	
95.5	1.31886	2	0.0194433 1.5635e-08	0.0858354 1.99756e-07	-0.118396 2.92413e-07	0.000682593 4.65337e-11	0.00326599 2.25003e-10	-0.00558012 3.86972e-10	
96.5	0.959325	2	0.0184988 1.39222e-08	0.067761 8.2132e-08	-0.093778 1.24555e-07	0.000140262 2.67399e-10	0.000559069 9.73504e-10	-0.00116386 1.96233e-09	
97.5	0.646066	2	0.0054883 4.93581e-08	0.0377235 6.83771e-07	-0.0513269 9.54916e-07	-0.000189582 1.12499e-09	-0.00112972 7.75023e-09	0.00193959 1.36632e-08	
98.5	0.336555	2	0.0122362 2.61599e-06	0.0244054 1.08055e-05	-0.0352068 1.72926e-05	-0.00143974 7.82009e-08	-0.00417156 2.14106e-07	0.0125197 6.38487e-07	
99.5	0.107209	0	0.000796578 0.000229287	0.00275907 0.00120719	-0.00661848 0.00288479	-0.000181521 7.37585e-05	-0.000823991 0.000423334	0.00416609 0.00226689	
