Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
66.5	7.38663	5	0.00988358 0.000567681	 0.0380412 0.00175295	 0.00693372 0.000365782	 0.00416423 0.000264866	 0.00101005 5.76849e-05	 0.00074335 3.79876e-05	 
67.5	7.02455	5	0.00988092 0.000655379	 0.0374292 0.00180708	 0.00636902 0.000329679	 0.00403709 0.000249461	 0.000996868 6.48493e-05	 0.000731509 3.62753e-05	 
68.5	6.64866	4.5	0.0089663 0.000561456	 0.0363422 0.00180643	 0.00576574 0.000331885	 0.00380108 0.000248301	 0.000814257 4.23583e-05	 0.000676851 3.52401e-05	 
69.5	6.31161	4	0.00819136 0.000509995	 0.0353625 0.00170938	 0.00555388 0.000307504	 0.00335088 0.00021723	 0.000835127 6.98428e-05	 0.000653504 3.5699e-05	 
70.5	5.98097	4	0.00933799 0.000550937	 0.0319088 0.00176638	 0.00595083 0.000347193	 0.00296064 0.000213828	 0.000730955 6.12591e-05	 0.000607801 3.64841e-05	 
71.5	5.61984	4	0.00841138 0.000532857	 0.031724 0.00158337	 0.00507254 0.000302146	 0.00284322 0.000175311	 0.000650206 4.70608e-05	 0.000594286 3.13551e-05	 
72.5	5.31781	4	0.00809729 0.000438844	 0.0314897 0.00162365	 0.00463717 0.000271095	 0.00266316 0.000186534	 0.00058627 4.54697e-05	 0.000544119 3.18174e-05	 
73.5	4.99757	4	0.00795883 0.000501249	 0.0311149 0.00155452	 0.00443903 0.000265858	 0.00245674 0.000171032	 0.000483373 2.84558e-05	 0.000534785 2.8832e-05	 
74.5	4.6748	4	0.00745149 0.000496956	 0.0300801 0.00159317	 0.00400263 0.000229209	 0.00202704 0.000146513	 0.000425054 2.16332e-05	 0.000477875 2.86721e-05	 
75.5	4.40447	3.5	0.00719396 0.000471271	 0.0277012 0.00139976	 0.00372191 0.000212245	 0.00180039 0.00013359	 0.000416423 2.70371e-05	 0.000414288 2.2334e-05	 
76.5	4.17884	3	0.00692743 0.000455463	 0.0240416 0.00157646	 0.00324654 0.00021216	 0.00144952 0.000133898	 0.00035551 3.31651e-05	 0.000362093 2.89568e-05	 
77.5	3.88614	3	0.00711931 0.00047559	 0.0252663 0.00131336	 0.0035856 0.000207081	 0.00135076 0.000107695	 0.000415744 3.66993e-05	 0.000363321 2.23065e-05	 
78.5	3.64795	3	0.00657837 0.000423499	 0.0250132 0.00128628	 0.00298766 0.00018432	 0.0014039 0.000113583	 0.000318151 2.00036e-05	 0.000358397 2.41317e-05	 
79.5	3.42578	3	0.00649122 0.000444818	 0.0217929 0.00128278	 0.00270557 0.000187079	 0.000996414 8.10816e-05	 0.000299994 2.07585e-05	 0.000307715 2.02343e-05	 
80.5	3.20892	3	0.00493003 0.00032812	 0.01852 0.0011502	 0.00230427 0.000163066	 0.000639332 6.0533e-05	 0.00022475 1.38942e-05	 0.000224766 1.86024e-05	 
81.5	2.95925	3	0.00445011 0.00034167	 0.0195848 0.00114741	 0.00215726 0.000144205	 0.000626178 5.56798e-05	 0.000198298 1.34971e-05	 0.000233317 1.78915e-05	 
82.5	2.75457	3	0.00400442 0.000306241	 0.0176717 0.00115587	 0.00173886 0.000124586	 0.000559653 5.92311e-05	 0.000162864 1.11433e-05	 0.000194671 1.78519e-05	 
83.5	2.53249	2.5	0.00365189 0.000271126	 0.0189669 0.00126726	 0.0017951 0.000135994	 0.000478991 4.50446e-05	 0.000165437 1.1715e-05	 0.000199072 1.62349e-05	 
84.5	2.32288	2	0.00329199 0.000234016	 0.0160009 0.00110504	 0.00156068 0.000144193	 0.000320729 3.12849e-05	 0.000137734 1.17273e-05	 0.000151679 1.38065e-05	 
85.5	2.12947	2	0.00287332 0.000192784	 0.0147112 0.000928239	 0.00122524 8.52898e-05	 0.000215847 1.67627e-05	 0.00010848 6.77249e-06	 0.000111708 1.02978e-05	 
86.5	1.94321	2	0.00248586 0.000171826	 0.0143769 0.000936581	 0.00108869 7.66062e-05	 0.000206897 1.57019e-05	 0.000109124 7.84224e-06	 0.00011092 9.90903e-06	 
87.5	1.76561	2	0.00211426 0.000170499	 0.0116205 0.000959316	 0.000805441 7.62054e-05	 0.00014175 1.29884e-05	 7.75783e-05 7.28223e-06	 7.82652e-05 9.08526e-06	 
88.5	1.58234	2	0.00174452 0.000130018	 0.0103652 0.000788331	 0.000679398 5.86853e-05	 0.000142658 1.1381e-05	 7.67302e-05 6.83503e-06	 6.43249e-05 7.01538e-06	 
89.5	1.40473	2	0.0013775 9.44891e-05	 0.00958257 0.000711114	 0.000469931 4.07787e-05	 0.000118939 9.21471e-06	 5.92527e-05 6.44973e-06	 4.36467e-05 4.77816e-06	 
90.5	1.24533	2	0.000960486 8.36084e-05	 0.00815966 0.000687818	 0.000346592 3.67099e-05	 0.000108399 9.15401e-06	 5.8966e-05 6.29208e-06	 4.23216e-05 4.22999e-06	 
91.5	1.09429	2	0.000609446 6.00111e-05	 0.00607062 0.000645648	 0.000178786 1.97336e-05	 7.29415e-05 8.37843e-06	 3.76781e-05 5.75334e-06	 2.48979e-05 4.47207e-06	 
92.5	0.939368	2	0.000514513 4.95892e-05	 0.00499638 0.000528079	 0.000139659 1.23672e-05	 6.72198e-05 9.17731e-06	 3.43121e-05 4.76355e-06	 2.4435e-05 3.84365e-06	 
93.5	0.79404	2	0.000278929 2.69545e-05	 0.00445849 0.000518301	 7.1294e-05 7.85489e-06	 6.21599e-05 1.15139e-05	 1.77069e-05 2.6185e-06	 2.10606e-05 3.76419e-06	 
94.5	0.654797	2	0.000233708 2.36824e-05	 0.00348642 0.000403201	 0.000122039 1.57659e-05	 6.36674e-05 1.12632e-05	 1.91791e-05 2.49366e-06	 2.09921e-05 3.30647e-06	 
95.5	0.517277	2	0.000230713 1.58611e-05	 0.0028799 0.000300833	 0.000127392 1.46071e-05	 6.1377e-05 1.0277e-05	 2.5515e-05 3.76848e-06	 1.52989e-05 2.3636e-06	 
96.5	0.388877	2	0.00016623 1.26184e-05	 0.0013574 0.000212439	 7.68812e-05 1.27727e-05	 4.04512e-05 1.0012e-05	 1.54945e-05 2.79247e-06	 7.91855e-06 1.42447e-06	 
97.5	0.2544	2	0.000179777 1.84688e-05	 0.000475617 0.000104797	 3.97071e-05 7.64243e-06	 2.14847e-05 4.05267e-06	 8.26029e-06 8.04427e-07	 5.85264e-06 1.45765e-06	 
98.5	0.124251	2	0.000196227 2.56598e-05	 8.24629e-05 2.0052e-05	 1.12903e-05 1.49694e-06	 6.88958e-06 3.15599e-07	 5.19466e-06 1.7229e-07	 3.92463e-06 1.02247e-07	 
99.5	0.0288557	0	0.000117371 1.17482e-05	 1.01513e-05 8.95014e-07	 3.30448e-06 2.67404e-07	 2.29181e-06 2.0866e-07	 1.64766e-06 1.27071e-07	 1.66471e-06 1.38138e-07	 
