Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
74.5	6.59674	13.5	0.0180238 0.00152063	 0.0511329 0.00150812	 0.00809829 0.000279153	 0.00510423 0.000252056	 0.00144813 5.53471e-05	 0.00108389 4.03333e-05	 
75.5	6.04955	12.5	0.0163452 0.0013782	 0.0497919 0.00160098	 0.00780178 0.000298538	 0.00498007 0.000252246	 0.00128191 5.90951e-05	 0.00105288 3.98946e-05	 
76.5	5.50572	11.5	0.0176385 0.0013772	 0.0497633 0.0014952	 0.00696014 0.00024582	 0.00481467 0.00023648	 0.00122017 5.55471e-05	 0.00110733 4.46072e-05	 
77.5	4.99813	10.5	0.0141575 0.00125538	 0.0443755 0.00154246	 0.00597133 0.000216309	 0.00387119 0.000197391	 0.000992633 3.83771e-05	 0.000951167 3.91984e-05	 
78.5	4.54881	9.5	0.0138042 0.00115984	 0.0439789 0.00153569	 0.00547141 0.000207493	 0.0034216 0.000171516	 0.000882959 4.42164e-05	 0.000862446 3.52257e-05	 
79.5	4.14137	9	0.0142691 0.00109437	 0.0397906 0.00153277	 0.005052 0.000225063	 0.00273056 0.000136825	 0.000704399 2.52538e-05	 0.00084745 3.32904e-05	 
80.5	3.74621	8.5	0.013266 0.00100971	 0.0379705 0.00140217	 0.00473401 0.000196028	 0.00237548 0.000124251	 0.000708669 3.89598e-05	 0.000823227 3.37945e-05	 
81.5	3.36984	7.5	0.0111301 0.000859909	 0.0365019 0.00134138	 0.00379719 0.000167177	 0.00235148 0.00012194	 0.00057645 2.68178e-05	 0.000820016 2.9801e-05	 
82.5	3.06169	7	0.009895 0.000780009	 0.0318839 0.00130421	 0.00353559 0.000168803	 0.00178032 9.08847e-05	 0.000479529 2.42423e-05	 0.000714461 2.99377e-05	 
83.5	2.74429	6.5	0.00871819 0.000612649	 0.0285404 0.00122579	 0.00287926 0.000142716	 0.00129474 7.34644e-05	 0.000395072 1.94008e-05	 0.000573722 2.44724e-05	 
84.5	2.46243	6	0.0077374 0.000637638	 0.0271195 0.00119751	 0.00246412 0.000121299	 0.0010767 6.29782e-05	 0.000346578 1.34894e-05	 0.000509072 2.38955e-05	 
85.5	2.18802	5.5	0.00722646 0.000500697	 0.0233175 0.00107192	 0.00178141 9.61872e-05	 0.000825597 5.71768e-05	 0.000289873 1.29826e-05	 0.000402079 2.33246e-05	 
86.5	1.95471	5	0.00450098 0.000328879	 0.0220086 0.00102668	 0.00134794 8.28165e-05	 0.00064878 4.46562e-05	 0.000254748 1.18631e-05	 0.000334228 1.98085e-05	 
87.5	1.72454	4.5	0.00350754 0.000298006	 0.0189847 0.000881538	 0.00127294 7.31252e-05	 0.000428352 1.69186e-05	 0.000232248 1.10504e-05	 0.000233153 1.51681e-05	 
88.5	1.52072	4	0.00177878 0.000224977	 0.0185105 0.000833289	 0.000964806 5.31685e-05	 0.000357557 1.28272e-05	 0.00019112 8.44824e-06	 0.000180925 1.0841e-05	 
89.5	1.33178	4	0.00116014 0.000176686	 0.0181493 0.000863308	 0.000671287 4.39985e-05	 0.00029183 1.10157e-05	 0.00014823 7.39527e-06	 0.000141181 9.10867e-06	 
90.5	1.14705	3.5	0.00049449 4.53489e-05	 0.0155835 0.000813284	 0.000512027 3.2311e-05	 0.000253109 1.06798e-05	 0.000118239 6.80572e-06	 0.000103387 7.12976e-06	 
91.5	0.979013	3	0.00039546 1.72881e-05	 0.0128494 0.000746458	 0.000336795 1.99419e-05	 0.00020927 1.14371e-05	 8.74064e-05 5.81154e-06	 6.45165e-05 4.46972e-06	 
92.5	0.823228	2.5	0.000486378 2.18876e-05	 0.010264 0.00057811	 0.000244677 1.71189e-05	 0.00015854 9.63886e-06	 6.51574e-05 4.23935e-06	 4.67856e-05 3.58443e-06	 
93.5	0.685371	2	0.000559455 2.21884e-05	 0.00710127 0.000542195	 0.000159051 1.91491e-05	 0.000111458 1.11826e-05	 3.75962e-05 3.2232e-06	 3.35792e-05 4.43916e-06	 
94.5	0.533742	2	0.000615073 2.52452e-05	 0.00535001 0.000377454	 0.000190811 1.46552e-05	 8.52432e-05 1.01579e-05	 3.08791e-05 3.08221e-06	 2.52889e-05 2.85512e-06	 
95.5	0.397467	2	0.00085525 3.40784e-05	 0.0036718 0.000285217	 0.000178083 1.59805e-05	 7.09217e-05 7.23552e-06	 3.2757e-05 3.54919e-06	 1.77845e-05 1.59706e-06	 
96.5	0.279649	2	0.00102087 4.6585e-05	 0.00196853 0.000167974	 0.000140021 1.19543e-05	 5.07324e-05 5.51555e-06	 1.95562e-05 2.30456e-06	 1.25821e-05 1.3721e-06	 
97.5	0.167943	2	0.00143225 0.000100801	 0.00059257 9.84538e-05	 3.69919e-05 4.12413e-06	 2.26373e-05 2.68414e-06	 1.22653e-05 8.70977e-07	 7.44361e-06 4.61124e-07	 
98.5	0.0607819	2	0.00248574 0.00011087	 4.72759e-05 1.26673e-05	 9.90818e-06 3.95614e-07	 7.31418e-06 2.68595e-07	 5.7586e-06 2.23514e-07	 5.07407e-06 1.6774e-07	 
99.5	0.00156271	0	0.0063641 0.00068361	 6.0541e-06 7.63457e-07	 1.011e-06 1.80439e-07	 3.49606e-07 3.31188e-08	 2.67239e-07 3.01904e-08	 2.27877e-07 1.45604e-08	 
