Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
72.5	7.88631	15.5	0.0568086 7.80499e-06	0.0942296 0.00404334	-0.0729724 0.00633351	0.00931188 9.95183e-05	0.0171879 6.17337e-05	-0.0260041 0.000170844	
73.5	7.25294	14.5	0.0507684 0.000124755	0.0803658 0.000928958	-0.059466 0.00196299	0.00677603 2.0391e-05	0.0131111 0.000183295	-0.0203929 0.000480351	
74.5	6.59674	13.5	0.0511029 1.07785e-05	0.0851955 9.74361e-05	-0.0668288 0.00016776	0.00773663 4.69229e-05	0.0159583 7.19963e-05	-0.0265348 6.14154e-05	
75.5	6.04955	12.5	0.0522734 0.000234031	0.115156 0.000556116	-0.122109 0.000381823	0.00652267 1.34145e-05	0.0177221 5.95629e-05	-0.0339048 0.000126818	
76.5	5.50572	11.5	0.0505177 2.16268e-11	0.107481 1.80968e-10	-0.111619 3.14146e-10	0.00505676 5.03051e-13	0.0140989 2.37863e-12	-0.0278509 5.77293e-12	
77.5	4.99813	10.5	0.0415554 2.7378e-06	0.099025 0.000355252	-0.110742 0.000729922	0.00478781 1.80039e-05	0.0120436 5.31946e-05	-0.0254889 0.000136414	
78.5	4.54881	9.5	0.0424776 0.000201698	0.0935208 0.0012718	-0.0991107 0.00238003	0.00427263 5.48444e-05	0.0107124 0.000228197	-0.0207871 0.000456616	
79.5	4.14137	9	0.0347347 0.000143735	0.0951587 0.000499602	-0.110714 0.000637431	0.00311526 3.90157e-06	0.0107589 1.1398e-05	-0.0231446 2.56774e-05	
80.5	3.74621	8.5	0.0355946 7.80556e-06	0.0918533 0.000233648	-0.106964 0.000400482	0.0037282 3.77952e-06	0.0101334 2.05172e-05	-0.0190875 4.4538e-05	
81.5	3.36984	7.5	0.0336198 4.42907e-05	0.0907466 0.000945859	-0.107245 0.00190843	0.0018655 1.15003e-05	0.00669975 6.37149e-05	-0.0131653 0.000129233	
82.5	3.06169	7	0.0336525 0.000270745	0.10094 0.00239236	-0.127387 0.00336588	0.00290937 2.99478e-05	0.0085691 0.000110549	-0.0169396 0.000243576	
83.5	2.74429	6.5	0.0263146 6.32454e-05	0.0859188 0.000138189	-0.107281 0.000179565	0.00193441 1.01819e-05	0.00637622 3.39728e-05	-0.011816 6.627e-05	
84.5	2.46243	6	0.0270945 3.11268e-05	0.0856558 6.38218e-05	-0.109618 0.000127595	0.00176682 8.21015e-06	0.00616013 1.98259e-05	-0.0127419 4.14742e-05	
85.5	2.18802	5.5	0.0220055 0.000105941	0.0734232 0.000183023	-0.0973957 0.000646032	0.00115398 1.80412e-05	0.00365395 2.94652e-05	-0.00722927 4.30264e-05	
86.5	1.95471	5	0.0209331 0.000160553	0.0801316 0.0010088	-0.107337 0.00157445	0.00070175 2.22264e-05	0.00300397 0.00010397	-0.00584937 0.000178173	
87.5	1.72454	4.5	0.0209966 1.25119e-10	0.0691094 7.12338e-10	-0.0903452 1.13121e-09	0.000663885 3.40405e-13	0.00257652 1.2023e-12	-0.00575373 2.59811e-12	
88.5	1.52072	4	0.0217776 8.3877e-05	0.0754691 0.000215862	-0.104169 0.000321451	0.000751009 5.83571e-07	0.0026058 1.87578e-06	-0.00515641 3.81977e-06	
89.5	1.33178	4	0.022956 1.1183e-09	0.0786874 4.35715e-09	-0.10801 6.88591e-09	0.000442922 1.57961e-11	0.00134315 5.05228e-11	-0.00271969 1.04323e-10	
