Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
75.5	16.9452	14.5	0.679752 0.0537005	-0.729011 0.0832857	-0.734307 0.0734736	
76.5	15.5021	13	0.620346 0.0766337	-0.701689 0.0916039	-0.787017 0.0588603	
77.5	14.0899	12	0.420771 0.285921	-0.775479 0.0720512	-0.903018 0.0532973	
78.5	12.8504	11.5	-0.349534 0.573915	-0.786168 0.0663219	-0.954277 0.0571519	
79.5	11.6198	10.5	-0.673169 0.0910656	-0.891644 0.0665345	-0.989477 0.0490602	
80.5	10.4614	9.5	-0.456826 0.253811	-0.835647 0.0702869	-0.926802 0.06755	
81.5	9.4889	8.5	-0.703139 0.0721476	-0.86955 0.0790011	-1.05005 0.0406086	
82.5	8.51833	8	-0.794168 0.0638441	-0.890947 0.0631149	-0.99396 0.0478491	
83.5	7.61914	7.5	-0.879964 0.0529658	-0.902063 0.0937528	-1.11122 0.0451459	
84.5	6.84771	6.5	-0.861113 0.0496787	-0.930521 0.0465654	-1.17032 0.0477245	
85.5	6.13054	6	-0.899282 0.0491869	-0.99488 0.0641989	-1.14215 0.0447349	
86.5	5.44348	5.5	-1.04562 0.0498561	-1.00412 0.0492455	-1.29811 0.0472258	
87.5	4.80346	5	-1.06497 0.042497	-1.10883 0.0460017	-1.24124 0.0427816	
88.5	4.23062	4.5	-1.16418 0.0493661	-1.24498 0.0725816	-1.33211 0.0499079	
89.5	3.69405	4	-1.08145 0.0469672	-1.2072 0.0615396	-1.2702 0.0518373	
90.5	3.23133	4	-1.12557 0.0438269	-1.32292 0.0849543	-1.30491 0.0450524	
91.5	2.76408	3.5	-1.23162 0.0464869	-1.39356 0.0517929	-1.3185 0.0508157	
92.5	2.36036	3	-1.34875 0.0483983	-1.42183 0.0528229	-1.4275 0.0536784	
93.5	1.96645	2.5	-1.40854 0.0523759	-1.5084 0.0702554	-1.55193 0.0626408	
94.5	1.62238	2	-1.5362 0.0662975	-1.64488 0.0711671	-1.59622 0.0697067	
95.5	1.3021	2	-1.71075 0.0760391	-1.79356 0.0927435	-1.8193 0.082989	
96.5	0.998009	2	-1.63785 0.0685481	-1.80284 0.100477	-1.88735 0.113707	
97.5	0.711541	2	-2.31352 0.202923	-2.07409 0.121268	-2.04332 0.136409	
98.5	0.416553	2	-2.0723 0.134049	-2.06353 0.20602	-1.79892 0.0686695	
99.5	0.154367	0	-2.34942 0.17218	-2.31536 0.652135	-2.13595 0.301908	
