Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
38.5	191.991	113.5	-1.22602e-07 6.34347e-08	5.36009e-05 6.32433e-06	7.78251e-08 1.32683e-07	1.71202e-08 1.93751e-08	-1.43947e-08 1.30699e-08	-1.54171e-08 1.53626e-08	
39.5	182.685	108.5	-3.69759e-08 1.19184e-08	6.81664e-05 7.18059e-06	2.45362e-07 9.74458e-08	-2.07626e-08 1.72878e-08	1.16411e-09 1.07564e-09	-4.50663e-10 2.94006e-10	
40.5	173.413	104	-3.40015e-08 9.51904e-09	5.34142e-05 6.4726e-06	-4.66075e-08 1.25359e-07	-4.86885e-09 1.97787e-08	-1.01253e-09 1.96033e-09	-6.01569e-10 5.46129e-10	
41.5	165.118	100	-2.99543e-08 1.01846e-08	4.17153e-05 5.72972e-06	2.70485e-08 1.66318e-07	2.707e-08 1.03221e-08	-1.50912e-09 1.92825e-09	1.1312e-10 8.4115e-11	
42.5	157.229	96	-6.74056e-08 2.58132e-08	5.4661e-05 7.67726e-06	2.35334e-07 1.4641e-07	-1.15904e-08 1.6266e-08	-1.17054e-09 1.27533e-09	-2.07936e-10 1.88087e-10	
43.5	149.261	92	-4.38796e-08 1.17734e-08	5.05084e-05 7.20468e-06	-3.37779e-08 1.45341e-07	-9.57351e-09 1.73629e-08	-3.30955e-09 2.55426e-09	-3.52705e-10 2.44911e-10	
44.5	141.353	88	-4.24347e-08 1.43182e-08	7.02312e-05 8.86074e-06	-1.84823e-08 1.73011e-07	-5.41145e-08 5.1048e-08	-4.88476e-10 2.14238e-09	-1.69023e-10 1.7479e-10	
45.5	134.066	84	-2.00806e-08 6.30027e-09	5.43547e-05 8.05266e-06	-8.48129e-09 1.64612e-07	-4.75503e-09 1.84867e-08	-5.04336e-10 1.66169e-09	-2.20935e-10 1.18847e-10	
46.5	126.923	80	-7.72479e-08 2.5182e-08	6.29847e-05 7.76523e-06	1.4764e-07 1.02339e-07	-1.53323e-08 1.88969e-08	1.38723e-09 8.73759e-10	-2.58454e-10 2.21113e-10	
47.5	120.195	76.5	-6.97368e-08 3.21955e-08	6.08423e-05 7.68253e-06	2.26178e-07 1.55784e-07	-8.01504e-09 1.5544e-08	1.89423e-09 1.22012e-09	-2.8519e-10 2.33369e-10	
48.5	113.785	73	-2.75138e-08 9.52906e-09	6.47211e-05 8.4548e-06	4.4496e-07 1.28043e-07	-3.52827e-09 2.282e-08	-7.61076e-10 2.2894e-09	-1.49721e-10 1.4176e-10	
49.5	107.722	69.5	-7.07079e-08 2.20029e-08	6.87749e-05 8.2189e-06	1.10753e-07 1.37757e-07	9.67354e-09 2.02532e-08	-3.76517e-09 2.13928e-09	4.40647e-11 1.26905e-10	
50.5	101.552	66.5	-7.47241e-08 2.79586e-08	7.01477e-05 8.81793e-06	2.16295e-07 1.12849e-07	-1.02947e-08 2.15438e-08	2.84562e-10 1.6615e-09	-3.89246e-10 1.82109e-10	
51.5	96.4137	63	-1.68878e-07 9.42552e-08	5.69749e-05 8.67925e-06	4.59671e-07 1.26224e-07	-2.179e-08 2.3538e-08	-3.19648e-10 1.41525e-09	-2.08903e-10 2.16751e-10	
52.5	90.5873	59.5	-1.15684e-07 4.5429e-08	5.65102e-05 8.92477e-06	2.23811e-07 1.32118e-07	-4.93538e-08 2.49628e-08	-2.38176e-09 1.89722e-09	-1.39733e-10 1.23343e-10	
53.5	85.2983	56.5	-7.85575e-08 2.74866e-08	6.6607e-05 9.34712e-06	1.96627e-07 1.1443e-07	-4.14037e-08 2.76309e-08	-7.45555e-10 1.43516e-09	-3.27663e-11 1.45322e-10	
54.5	80.3151	54	-7.4308e-08 4.09185e-08	6.16255e-05 7.70595e-06	1.70052e-07 1.06473e-07	-1.51289e-08 2.07636e-08	2.60976e-10 9.64471e-10	-2.21086e-10 1.50854e-10	
55.5	75.4403	51.5	-6.01847e-08 1.47612e-08	6.14286e-05 9.45561e-06	2.16973e-07 9.98494e-08	-3.10657e-08 2.03659e-08	-2.31106e-10 1.38957e-09	-2.75099e-10 1.80914e-10	
56.5	70.8807	48.5	-3.97941e-08 1.03626e-08	7.48274e-05 1.14379e-05	8.91766e-08 2.02734e-07	-4.70708e-08 3.16387e-08	7.63193e-10 9.26445e-10	-9.26471e-10 3.81861e-10	
57.5	66.5108	46	-2.17562e-07 9.33813e-08	5.07479e-05 8.84827e-06	2.07727e-07 9.50762e-08	-3.04476e-08 2.17938e-08	-1.19232e-09 1.05288e-09	-5.04336e-10 2.4391e-10	
58.5	62.3745	43.5	-7.54399e-08 2.19897e-08	5.47564e-05 8.67803e-06	6.91958e-08 1.07249e-07	-2.24153e-08 2.57636e-08	-2.12564e-09 1.71741e-09	-3.22308e-10 1.80356e-10	
59.5	58.2482	41	-1.69355e-07 8.56114e-08	6.24894e-05 9.25576e-06	1.39345e-07 1.00497e-07	-2.96779e-08 2.68485e-08	-1.57095e-09 1.5783e-09	-4.18248e-10 1.77557e-10	
60.5	54.6917	39	-1.28576e-07 6.84205e-08	5.62758e-05 8.94397e-06	9.52866e-08 1.15852e-07	-5.7895e-09 1.76633e-08	-1.04652e-09 1.79453e-09	-2.11757e-10 1.15865e-10	
61.5	50.9261	36.5	-2.36559e-07 7.72251e-08	5.22984e-05 9.40628e-06	2.69726e-07 8.95495e-08	-3.73395e-08 2.03918e-08	-3.01539e-09 1.66084e-09	-4.23727e-10 1.66978e-10	
62.5	47.5136	34	-3.68148e-07 1.5163e-07	4.86491e-05 9.00601e-06	3.45724e-07 9.64341e-08	-7.53483e-08 3.67093e-08	-2.08639e-09 1.26992e-09	-9.27195e-10 3.6474e-10	
63.5	44.2994	32	-3.86872e-07 1.68243e-07	4.15244e-05 8.92262e-06	2.24678e-07 8.61022e-08	-7.35821e-08 4.48575e-08	-1.8701e-09 1.23647e-09	-7.19574e-10 3.84672e-10	
64.5	41.3337	30	-1.96793e-07 1.0049e-07	1.9877e-05 7.86945e-06	1.82656e-07 6.86754e-08	-1.15744e-07 4.19892e-08	2.00924e-10 6.75161e-10	-7.89337e-10 3.18605e-10	
65.5	38.5048	28.5	-6.29517e-07 3.8597e-07	4.79084e-05 8.57437e-06	1.6876e-08 6.97696e-08	-2.30803e-08 1.60435e-08	-7.68272e-10 8.34161e-10	-5.16169e-10 1.58432e-10	
66.5	35.738	27	-1.38087e-06 6.60193e-07	4.21607e-05 7.46106e-06	1.03353e-07 6.97281e-08	-5.54994e-08 1.98346e-08	-4.52591e-10 5.96641e-10	-5.68522e-10 1.7799e-10	
67.5	32.9931	25	-1.88547e-06 1.31563e-06	3.84903e-05 8.35665e-06	-3.29991e-08 1.0051e-07	-5.78537e-08 1.97309e-08	-1.96799e-09 1.19959e-09	-4.05109e-10 2.05368e-10	
68.5	30.5698	23.5	-9.19388e-07 4.61276e-07	4.03593e-05 6.94309e-06	2.66573e-08 5.84245e-08	-2.20685e-08 1.61352e-08	-6.7715e-10 7.10814e-10	-4.34998e-10 1.95288e-10	
69.5	28.3138	22	-5.6607e-06 2.67427e-06	2.93734e-05 6.90606e-06	2.91211e-09 6.67028e-08	-4.54481e-08 1.81603e-08	-2.05535e-09 1.10282e-09	-4.66541e-10 1.61023e-10	
70.5	26.0575	20.5	-1.4143e-06 5.99389e-07	3.78446e-05 7.86059e-06	9.54527e-08 4.39784e-08	-6.41387e-08 2.67629e-08	-7.56537e-10 5.93216e-10	-4.41898e-10 2.17802e-10	
71.5	24.0488	19	-2.89599e-06 1.25531e-06	4.35255e-05 8.08255e-06	-8.70483e-08 1.04618e-07	-6.21319e-08 2.69579e-08	-1.3736e-09 6.76322e-10	-4.90562e-10 2.0895e-10	
72.5	22.0539	17.5	-2.20368e-06 1.3812e-06	1.48586e-05 6.08663e-06	-6.61418e-08 7.59064e-08	-5.65743e-08 2.77238e-08	-1.69606e-09 6.00734e-10	-3.63403e-10 1.63504e-10	
73.5	20.2334	16.5	-3.36169e-06 1.41617e-06	1.96918e-05 5.60479e-06	-1.08169e-08 6.26095e-08	-4.84709e-08 1.41705e-08	-7.09575e-10 5.39221e-10	-3.59555e-10 1.09551e-10	
74.5	18.5239	15.5	-4.4147e-06 1.26641e-06	1.52547e-05 5.1417e-06	-1.48798e-08 2.82491e-08	-4.90365e-08 1.87814e-08	-4.06577e-10 2.53837e-10	-2.71439e-10 9.72648e-11	
75.5	16.9452	14.5	-3.09842e-06 8.63928e-07	1.42582e-05 5.29672e-06	-8.05746e-08 3.54332e-08	-2.28343e-08 8.53358e-09	-6.12852e-10 2.83878e-10	-1.40583e-10 5.26232e-11	
76.5	15.5021	13	-4.93336e-06 1.54366e-06	7.14048e-06 4.00009e-06	-9.07716e-08 4.31738e-08	-2.50188e-08 6.46682e-09	-9.43766e-10 3.69807e-10	-9.15671e-11 3.38397e-11	
77.5	14.0899	12	-4.46548e-06 1.29327e-06	1.64486e-06 4.64358e-06	-8.44009e-08 2.90733e-08	-3.99628e-08 8.54509e-09	-1.099e-09 3.43434e-10	-1.77386e-10 6.60191e-11	
78.5	12.8504	11.5	-2.96628e-06 1.10134e-06	-5.95166e-07 3.48425e-06	-9.81571e-08 3.14574e-08	-3.76749e-08 9.75767e-09	-6.43474e-10 1.39755e-10	-1.16996e-10 4.12455e-11	
79.5	11.6198	10.5	-4.44365e-06 1.52345e-06	-7.07159e-06 3.40523e-06	-1.0617e-07 3.2177e-08	-3.62441e-08 7.15855e-09	-6.477e-10 2.12653e-10	-8.7216e-11 1.99062e-11	
80.5	10.4614	9.5	-2.78793e-06 1.04708e-06	-1.19466e-06 2.51333e-06	-8.30588e-08 2.73232e-08	-1.69567e-08 4.90579e-09	-5.26307e-10 1.31793e-10	-4.77493e-11 1.81723e-11	
81.5	9.4889	8.5	-3.6846e-06 1.7531e-06	-5.95601e-06 2.06491e-06	-5.55892e-08 2.01078e-08	-2.95344e-08 5.06878e-09	-3.15878e-10 7.40745e-11	-5.93201e-11 1.09792e-11	
82.5	8.51833	8	-2.39375e-06 8.55462e-07	-7.51438e-06 2.1439e-06	-5.24119e-08 1.5486e-08	-1.53971e-08 3.11526e-09	-3.03951e-10 6.44301e-11	-3.28357e-11 1.14906e-11	
83.5	7.61914	7.5	-1.62818e-06 4.54669e-07	-1.12134e-05 2.37947e-06	-2.71623e-08 1.08329e-08	-1.85923e-08 3.32949e-09	-2.07703e-10 4.6633e-11	-2.56359e-11 6.33909e-12	
84.5	6.84771	6.5	-8.86381e-07 3.17469e-07	-8.86358e-06 1.63751e-06	-3.2357e-08 5.67943e-09	-1.50159e-08 3.13508e-09	-1.83899e-10 3.77588e-11	-1.05106e-11 2.94632e-12	
85.5	6.13054	6	-1.11655e-06 2.71162e-07	-7.70189e-06 1.26807e-06	-3.10236e-08 7.94264e-09	-1.10388e-08 1.94556e-09	-1.68348e-10 2.85251e-11	-1.4353e-11 4.99525e-12	
86.5	5.44348	5.5	-5.86606e-07 2.44436e-07	-8.75564e-06 1.74544e-06	-2.06573e-08 3.81619e-09	-8.59079e-09 1.7262e-09	-9.27223e-11 1.49589e-11	-3.14607e-12 8.3446e-13	
87.5	4.80346	5	-4.95017e-07 1.91415e-07	-1.07355e-05 1.59579e-06	-1.98709e-08 3.33272e-09	-8.78321e-09 1.418e-09	-6.61633e-11 1.06776e-11	-3.64007e-12 1.02684e-12	
88.5	4.23062	4.5	-2.53983e-07 9.5755e-08	-6.90118e-06 1.39365e-06	-1.20413e-08 3.42349e-09	-3.29148e-09 7.28576e-10	-3.58358e-11 6.27439e-12	-1.38072e-12 4.74492e-13	
89.5	3.69405	4	-2.12705e-07 5.65865e-08	-3.49464e-06 5.78366e-07	-1.19833e-08 3.00833e-09	-1.65515e-09 3.41313e-10	-1.8287e-11 4.1954e-12	-7.15236e-13 1.55645e-13	
90.5	3.23133	4	-8.80368e-08 2.04892e-08	-4.59966e-06 6.63807e-07	-7.88324e-09 2.6073e-09	-1.86642e-09 3.01635e-10	-8.944e-12 1.93607e-12	-6.10973e-13 1.42256e-13	
91.5	2.76408	3.5	-6.99935e-08 1.9178e-08	-3.49762e-06 5.83309e-07	-3.2213e-09 6.77071e-10	-6.11524e-10 1.10536e-10	-4.84801e-12 9.91131e-13	-3.25401e-13 7.50186e-14	
92.5	2.36036	3	-5.47114e-08 1.13836e-08	-2.72056e-06 4.65604e-07	-1.85866e-09 3.73621e-10	-2.53305e-10 5.44585e-11	-1.93288e-12 4.60367e-13	-2.91171e-13 7.09705e-14	
93.5	1.96645	2.5	-2.04936e-08 5.95089e-09	-1.75779e-06 3.03783e-07	-7.47457e-10 1.88539e-10	-1.67315e-10 3.63846e-11	-3.81066e-13 8.29237e-14	-2.52912e-13 5.88245e-14	
94.5	1.62238	2	-7.64609e-09 2.63947e-09	-1.54471e-06 3.1387e-07	-3.70566e-10 9.74453e-11	-3.98965e-11 8.77851e-12	-8.03605e-14 3.01526e-14	-1.22801e-13 2.4313e-14	
95.5	1.3021	2	-7.01174e-10 2.60456e-10	-6.04604e-07 1.4461e-07	-6.39118e-11 2.09288e-11	-3.4089e-12 9.15864e-13	-7.49965e-15 2.07759e-15	-3.04198e-14 6.76186e-15	
96.5	0.998009	2	-9.48979e-11 4.90505e-11	-5.06978e-07 1.08747e-07	-2.39036e-11 7.83672e-12	-1.37343e-13 5.76104e-14	-4.43905e-15 1.63191e-15	-5.58729e-15 1.42034e-15	
97.5	0.711541	2	-2.66923e-13 1.67555e-13	-3.27019e-08 1.81845e-08	-8.08741e-13 2.74155e-13	-3.11127e-16 1.4806e-16	-3.28997e-16 1.61686e-16	-2.11474e-17 9.95461e-18	
98.5	0.416553	2	-3.47109e-11 2.25423e-11	-2.03199e-08 6.72386e-09	-1.97019e-14 1.13195e-14	-1.51545e-16 4.59009e-17	-3.78011e-17 1.3828e-17	-3.59817e-18 2.64374e-18	
99.5	0.154367	0	-1.45269e-10 3.97783e-11	-5.47019e-09 2.44534e-09	-7.4505e-14 6.51405e-14	-5.17604e-16 3.62223e-16	-1.24967e-18 1.00576e-18	-1.17238e-16 8.01932e-17	
