Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
68.5	40.3877	23.5	0.749702 0.0312862	-0.741065 0.0792278	-0.772408 0.0657639	
69.5	37.7578	22	0.683385 0.046431	-0.487016 0.20163	-0.748743 0.0657128	
70.5	34.8084	20.5	0.760549 0.032514	-0.597515 0.139649	-0.79907 0.0957006	
71.5	31.2636	19	0.734138 0.0318144	-0.765094 0.0669806	-0.848085 0.0604821	
72.5	30.6727	17.5	0.667521 0.049457	-0.95206 0.0850832	-0.856832 0.0574755	
73.5	28.4967	16.5	0.630384 0.0713662	-0.983399 0.0700633	-1.01588 0.137087	
74.5	26.6988	15.5	0.66681 0.0533845	-1.01698 0.121337	-0.943697 0.108729	
75.5	24.2071	14.5	0.549303 0.113356	-1.12332 0.174864	-0.903103 0.0470905	
76.5	20.7457	13	-0.403984 0.363044	-0.866174 0.0888475	-0.896387 0.0616673	
77.5	20.9393	12	-0.944822 0.0709214	-1.01394 0.0664883	-1.26385 0.14994	
78.5	27.388	11.5	-1.20632 0.0916154	-1.18784 0.306653	-1.43204 0.295632	
79.5	20.9859	10.5	-1.38338 0.0778898	-1.02637 0.0851578	-1.44636 0.129512	
80.5	15.0611	9.5	-0.875566 0.051439	-1.12957 0.116036	-1.1108 0.0520833	
81.5	15.2289	8.5	-1.21338 0.0750427	-1.29045 0.243819	-1.39478 0.154498	
82.5	20.0858	8	-1.48561 0.0988765	-1.42586 0.088384	-1.57673 0.0880403	
83.5	44.0861	7.5	-0.581914 0.561556	-0.392154 0.540511	-0.818906 0.188102	
84.5	12.6206	6.5	-1.55232 0.0862353	-1.41995 0.104938	-1.76671 0.167236	
85.5	61.5735	6	0.348118 0.752772	0.558729 0.33223	-0.792495 0.205141	
86.5	50.3916	5.5	-0.326819 0.790401	-0.86446 0.148505	-0.930376 0.172997	
87.5	42.6435	5	0.382787 0.697275	-0.854582 0.182462	0.443415 0.450221	
88.5	61.517	4.5	0.709988 0.125079	-0.856362 0.41741	-1.05018 0.139079	
89.5	46.116	4	0.716386 0.157008	0.5738 0.392813	-0.632242 0.375784	
90.5	40.0433	4	0.705082 0.167841	-0.895598 0.252955	-0.605014 0.427451	
91.5	39.0551	3.5	0.77223 0.116764	-0.809357 0.222005	-1.00009 0.304138	
92.5	44.307	3	-0.514891 0.641463	0.375059 0.70801	-0.842232 0.214888	
93.5	34.6529	2.5	0.715368 0.187126	0.547602 0.678074	-0.65287 0.339762	
94.5	37.0988	2	-0.565262 0.402365	-1.01081 0.497526	-1.35843 0.53555	
95.5	262.711	2	0.719821 0.0811947	-0.892927 0.289386	-0.424259 0.633585	
96.5	327.79	2	0.660561 0.100447	-0.632775 0.183715	0.611439 0.181652	
97.5	309.195	2	0.774538 0.0509982	-0.768909 0.188712	-0.38293 0.891979	
98.5	302.058	2	0.649451 0.156968	-0.790829 0.145589	0.728311 0.0848176	
99.5	361.976	0	0.64268 0.122296	0.751057 0.0609817	-0.288756 0.867259	
